epoch,train_loss,train_ce,train_rec,train_distill,train_consol,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.517336,0.332286,0.599828,0.179052,0.000004,0.335125,0.198122,0.656224,0.130441,0.198074,0.301805
1,0.335167,0.209839,0.646762,0.118860,0.000004,0.281992,0.167141,0.634310,0.108508,0.167151,0.272850
2,0.298342,0.188870,0.628377,0.103188,0.000004,0.259452,0.156106,0.607792,0.097268,0.156082,0.261085
3,0.282795,0.179506,0.596709,0.097322,0.000005,0.251933,0.149580,0.578927,0.096564,0.149569,0.253324
4,0.278153,0.174121,0.575786,0.098274,0.000004,0.250178,0.145846,0.559833,0.098734,0.145840,0.248688
5,0.277105,0.171174,0.558069,0.100350,0.000003,0.249564,0.143685,0.543171,0.100447,0.143697,0.246058
6,0.276088,0.169181,0.548811,0.101419,0.000002,0.248510,0.142086,0.539762,0.101026,0.142101,0.244003
7,0.275433,0.167574,0.545247,0.102406,0.000002,0.248783,0.140540,0.538416,0.102859,0.140546,0.241924
8,0.276293,0.166300,0.545539,0.104537,0.000001,0.250257,0.139450,0.541824,0.105389,0.139485,0.240581
9,0.278764,0.165286,0.551082,0.107967,0.000001,0.253826,0.138847,0.548537,0.109494,0.138809,0.239530
10,0.280402,0.164545,0.555099,0.110306,0.000001,0.254124,0.138666,0.549497,0.109963,0.138662,0.239226
11,0.280823,0.164450,0.556296,0.110809,0.000001,0.254188,0.138527,0.550450,0.110156,0.138554,0.239163
12,0.281255,0.164382,0.557180,0.111301,0.000001,0.254579,0.138428,0.551929,0.110632,0.138476,0.239043
13,0.281681,0.164298,0.558201,0.111801,0.000001,0.255694,0.138571,0.552632,0.111596,0.138549,0.239077
14,0.281899,0.164236,0.558748,0.112076,0.000001,0.255382,0.138483,0.552607,0.111373,0.138476,0.238975
15,0.281959,0.164244,0.558856,0.112127,0.000001,0.255490,0.138445,0.553142,0.111513,0.138459,0.238993
16,0.282002,0.164240,0.559013,0.112171,0.000001,0.255457,0.138478,0.552868,0.111451,0.138472,0.238986
17,0.282007,0.164212,0.558957,0.112206,0.000001,0.255371,0.138449,0.552929,0.111393,0.138462,0.239014
18,0.282039,0.164206,0.559120,0.112242,0.000001,0.255780,0.138456,0.553272,0.111791,0.138454,0.238961
19,0.282045,0.164208,0.559072,0.112247,0.000001,0.255618,0.138475,0.553012,0.111613,0.138442,0.238948
