epoch,train_loss,train_score,train_distill,val_loss,val_score,val_distill
0,0.536758,0.489148,0.047610,0.415551,tensor(0.0048),0.054253
1,0.413165,0.358112,0.055053,0.316495,tensor(0.0031),0.056482
2,0.328557,0.273184,0.055373,0.243163,tensor(0.0019),0.052888
3,0.269388,0.214838,0.054550,0.194593,tensor(0.0014),0.051552
4,0.229756,0.175490,0.054266,0.164643,tensor(0.0011),0.051093
5,0.206618,0.150914,0.055704,0.155606,tensor(0.0008),0.060430
6,0.188552,0.132134,0.056418,0.136490,tensor(0.0010),0.053919
7,0.176527,0.120750,0.055777,0.131779,tensor(0.0006),0.058685
8,0.169582,0.113729,0.055853,0.120494,tensor(0.0005),0.054905
9,0.161294,0.104952,0.056343,0.115796,tensor(0.0005),0.055167
10,0.158631,0.102402,0.056228,0.111078,tensor(0.0007),0.054071
11,0.158257,0.102295,0.055962,0.112484,tensor(0.0006),0.058986
12,0.148077,0.092995,0.055082,0.108587,tensor(0.0007),0.057173
13,0.150263,0.094985,0.055278,0.104824,tensor(0.0004),0.054229
14,0.148762,0.093716,0.055045,0.106616,tensor(0.0005),0.055752
15,0.148559,0.093259,0.055300,0.102821,tensor(0.0005),0.052494
16,0.145508,0.090099,0.055409,0.112028,tensor(0.0004),0.062342
17,0.146221,0.090799,0.055422,0.102425,tensor(0.0003),0.052550
18,0.148366,0.093191,0.055175,0.100978,tensor(0.0006),0.050975
19,0.148242,0.093165,0.055078,0.106358,tensor(0.0005),0.056681
0,0.535113,0.487170,0.047943,0.417165,tensor(0.0047),0.062304
1,0.405193,0.349798,0.055395,0.303482,tensor(0.0030),0.052579
2,0.320598,0.265335,0.055263,0.236049,tensor(0.0018),0.053067
3,0.264523,0.209033,0.055490,0.194257,tensor(0.0013),0.056071
4,0.226991,0.171421,0.055570,0.166264,tensor(0.0011),0.055515
5,0.202889,0.147766,0.055123,0.147955,tensor(0.0008),0.054970
6,0.186699,0.129893,0.056806,0.141314,tensor(0.0009),0.060452
7,0.175983,0.118885,0.057098,0.127848,tensor(0.0006),0.056777
8,0.167852,0.112146,0.055706,0.118342,tensor(0.0005),0.053954
9,0.158633,0.103566,0.055066,0.112678,tensor(0.0005),0.052689
10,0.155850,0.101219,0.054631,0.111457,tensor(0.0007),0.055269
11,0.155701,0.101062,0.054639,0.107431,tensor(0.0006),0.054457
12,0.146163,0.091741,0.054422,0.103647,tensor(0.0007),0.053186
13,0.148379,0.093833,0.054547,0.101616,tensor(0.0004),0.051682
14,0.146598,0.092524,0.054075,0.103976,tensor(0.0005),0.054414
15,0.146434,0.092062,0.054372,0.102422,tensor(0.0005),0.052383
16,0.143397,0.088912,0.054485,0.104800,tensor(0.0004),0.055811
17,0.143935,0.089670,0.054265,0.101833,tensor(0.0003),0.052958
18,0.146223,0.092062,0.054161,0.103746,tensor(0.0005),0.054932
19,0.146132,0.092035,0.054097,0.101729,tensor(0.0004),0.053169
