epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.531750,0.531750,0.525114,0.861266,0.861266,0.649514
1,0.400325,0.400325,0.452964,0.788240,0.788240,0.619898
2,0.377529,0.377529,0.440250,0.767240,0.767240,0.609265
3,0.367434,0.367434,0.433884,0.789148,0.789148,0.611905
4,0.362119,0.362119,0.429952,0.758628,0.758628,0.604056
5,0.358820,0.358820,0.428536,0.763973,0.763973,0.605780
6,0.356465,0.356465,0.427136,0.763400,0.763400,0.603009
7,0.351390,0.351390,0.424082,0.769670,0.769670,0.600252
8,0.346934,0.346934,0.421408,0.766358,0.766358,0.602544
9,0.345615,0.345615,0.420296,0.773972,0.773972,0.603120
10,0.344206,0.344206,0.419601,0.778664,0.778664,0.603051
