epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.644321,0.644321,0.582876,1.254853,1.254853,0.788002
1,0.543758,0.543758,0.530987,1.217699,1.217699,0.777064
2,0.525518,0.525518,0.522235,1.208661,1.208661,0.774313
3,0.513659,0.513659,0.516431,1.195908,1.195908,0.767727
4,0.503889,0.503889,0.511184,1.193287,1.193287,0.765147
5,0.495821,0.495821,0.507661,1.202772,1.202772,0.769170
6,0.490585,0.490585,0.505882,1.225755,1.225755,0.776667
7,0.485185,0.485185,0.503553,1.219174,1.219174,0.778807
8,0.480818,0.480818,0.501470,1.234177,1.234177,0.782325
9,0.478124,0.478124,0.500188,1.247074,1.247074,0.786921
10,0.476119,0.476119,0.499331,1.245184,1.245184,0.787086
