epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WK_norm,train_grad_eta_hat_norm,train_grad_WQ_absmax,train_grad_WK_absmax,train_grad_absmax_all,train_singleton_frac,val_loss,val_mse,val_mae
0,0.397942,0.397942,0.531371,16.349991,0.194577,0.200000,0.995929,0.009629,0.412905,1.108509,73.912405,140.950876,0.000000,54.026898,125.663782,157.959087,0.039274,0.391588,0.391588,0.530942
1,0.351021,0.351021,0.501944,17.797085,0.191775,0.200000,0.995961,0.009521,0.415005,1.079995,8086.563551,10260.948845,0.000000,7792.753078,10049.720486,13471.914885,0.039042,0.345662,0.345662,0.501264
2,0.318853,0.318853,0.478848,18.293678,0.193656,0.200000,0.995729,0.009768,0.414316,1.069366,2504.819366,8010.346979,0.000000,1768.726961,7177.082403,15486.488552,0.040679,0.327227,0.327227,0.487980
3,0.309314,0.309314,0.471008,16.321083,0.200451,0.200000,0.995698,0.009697,0.415613,1.033145,17344.376052,41215.371593,0.000000,10411.419189,24205.599602,33752.798332,0.041013,0.317471,0.317471,0.479772
4,0.302435,0.302435,0.464998,20.109905,0.206775,0.200000,0.995741,0.009505,0.415950,1.023116,1726.982378,1921.021235,0.000000,1290.849262,1681.935228,3640.537579,0.041173,0.313854,0.313854,0.476137
5,0.300298,0.300298,0.463078,16.702953,0.206996,0.200000,0.995579,0.009888,0.413849,1.047008,3562.460243,4056.834282,0.000000,3276.851669,3396.036137,8260.265564,0.041825,0.311691,0.311691,0.474694
6,0.297790,0.297790,0.460798,18.050087,0.211112,0.200000,0.995720,0.009700,0.414103,1.065856,3073.087189,3819.790245,0.000000,2205.698887,2820.595566,8768.174179,0.041394,0.305252,0.305252,0.468294
7,0.292378,0.292378,0.456122,18.453703,0.205392,0.200000,0.995807,0.009656,0.415246,1.051807,1901.955742,6044.690582,0.000000,1153.334832,4615.536064,11425.992676,0.041429,0.300451,0.300451,0.464716
8,0.286670,0.286670,0.451037,17.068506,0.194917,0.200000,0.995712,0.009771,0.415598,1.041450,1757.671768,2195.479908,0.000000,1130.996414,1469.118452,8637.712440,0.041578,0.295098,0.295098,0.459286
9,0.283857,0.283857,0.447111,18.137840,0.192400,0.200000,0.995508,0.010034,0.413453,1.068264,24881.065378,70797.334698,0.000000,20997.811173,57950.614975,97879.904833,0.042162,0.291955,0.291955,0.455379
10,0.280444,0.280444,0.444614,17.686052,0.189790,0.200000,0.995602,0.009820,0.417525,1.032413,6612.529799,7015.277954,0.000000,6021.945405,5257.090511,11190.161644,0.040197,0.290848,0.290848,0.454860
11,0.278338,0.278338,0.443327,18.555880,0.194629,0.200000,0.995658,0.009980,0.415899,1.048823,23349.238991,79820.660835,0.000000,14673.899141,58887.774544,327671.354958,0.039971,0.287341,0.287341,0.452591
