h,mae,mse
1,0.2347356230020523,0.1309557557106018
2,0.2802625596523285,0.18833769857883453
3,0.30907943844795227,0.23333995044231415
4,0.331352561712265,0.2695073187351227
5,0.3433574438095093,0.29162222146987915
6,0.3511212170124054,0.3071244955062866
7,0.3545573055744171,0.31411683559417725
8,0.3571511209011078,0.3183915615081787
9,0.35765790939331055,0.3198379874229431
10,0.3593524992465973,0.3210359811782837
11,0.3599155843257904,0.32051244378089905
12,0.3605639338493347,0.32146838307380676
13,0.3608492314815521,0.32240405678749084
14,0.360524982213974,0.3238573670387268
15,0.35848501324653625,0.3230224549770355
16,0.3604568541049957,0.3238048255443573
17,0.36019179224967957,0.32392776012420654
18,0.35946226119995117,0.32254037261009216
19,0.35872676968574524,0.3214885890483856
20,0.35890111327171326,0.32133767008781433
21,0.35818976163864136,0.319846510887146
22,0.3591013550758362,0.32214248180389404
23,0.356965571641922,0.32150086760520935
24,0.3601595163345337,0.32658088207244873
25,0.3686620891094208,0.33856114745140076
26,0.37768781185150146,0.3539651334285736
27,0.381701797246933,0.3625050187110901
28,0.38685235381126404,0.3714703321456909
29,0.3886805772781372,0.37567952275276184
30,0.38976582884788513,0.3790367841720581
31,0.38823768496513367,0.3810022473335266
32,0.38952958583831787,0.3814811408519745
33,0.3890432119369507,0.38202789425849915
34,0.39039623737335205,0.38273733854293823
35,0.38796567916870117,0.37629836797714233
36,0.3893198072910309,0.37715020775794983
37,0.38831964135169983,0.37560680508613586
38,0.38783058524131775,0.3762611448764801
39,0.3851434290409088,0.3732699453830719
40,0.38710299134254456,0.37551969289779663
41,0.3859838843345642,0.37452712655067444
42,0.38599494099617004,0.3735857307910919
43,0.38469669222831726,0.37149861454963684
44,0.38640132546424866,0.3719635605812073
45,0.38475459814071655,0.3702560067176819
46,0.3854548931121826,0.3726900517940521
47,0.3843443691730499,0.3725777268409729
48,0.38555240631103516,0.3739393949508667
49,0.39303675293922424,0.38286328315734863
50,0.39952853322029114,0.39455646276474
51,0.4022105038166046,0.4011455178260803
52,0.405544638633728,0.40714380145072937
53,0.4050646722316742,0.4072403907775879
54,0.40581220388412476,0.4142768979072571
55,0.40632086992263794,0.41703543066978455
56,0.4081721305847168,0.41850167512893677
57,0.4073891341686249,0.41558897495269775
58,0.4078081548213959,0.4170391857624054
59,0.40745100378990173,0.4144500195980072
60,0.4097136855125427,0.41600289940834045
61,0.40775272250175476,0.410815566778183
62,0.4074174761772156,0.4129961133003235
63,0.4064638912677765,0.4140336811542511
64,0.40820905566215515,0.41401153802871704
65,0.4067639112472534,0.4114042818546295
66,0.40735554695129395,0.4136795699596405
67,0.4067840874195099,0.4131077229976654
68,0.4080716371536255,0.4120270013809204
69,0.406445175409317,0.40965592861175537
70,0.4070942997932434,0.41407883167266846
71,0.40508297085762024,0.41299131512641907
72,0.4070798456668854,0.41594198346138
73,0.41153714060783386,0.42583736777305603
74,0.4160490930080414,0.4354841113090515
75,0.4170891046524048,0.4400472640991211
76,0.42183825373649597,0.4463239908218384
77,0.42171794176101685,0.4451863765716553
78,0.42143934965133667,0.44635018706321716
79,0.42127710580825806,0.44949468970298767
80,0.42340511083602905,0.45207828283309937
81,0.42324575781822205,0.45122605562210083
82,0.4236506521701813,0.4526834189891815
83,0.42276763916015625,0.44966182112693787
84,0.42468827962875366,0.45161914825439453
85,0.4230232536792755,0.4495660960674286
86,0.42363619804382324,0.4533598721027374
87,0.42209482192993164,0.4526074528694153
88,0.4239562153816223,0.45317351818084717
89,0.42265501618385315,0.45127713680267334
90,0.4244089126586914,0.4548064172267914
91,0.42314743995666504,0.4535556435585022
92,0.4242899417877197,0.45350512862205505
93,0.4223170280456543,0.4480839967727661
94,0.4210493564605713,0.44804197549819946
95,0.42043954133987427,0.44758495688438416
96,0.42185354232788086,0.448351114988327
