epoch,train_loss,train_score,val_loss,val_score,val_rec,val_distill
0,0.005751,0.005751,0.001576,0.001576,0.000000,0.000000
1,0.001261,0.001261,0.000992,0.000992,0.000000,0.000000
2,0.000941,0.000941,0.000854,0.000854,0.000000,0.000000
3,0.000853,0.000853,0.000798,0.000798,0.000000,0.000000
4,0.000809,0.000809,0.000769,0.000769,0.000000,0.000000
5,0.000786,0.000786,0.000730,0.000730,0.000000,0.000000
6,0.000765,0.000765,0.000680,0.000680,0.000000,0.000000
7,0.000748,0.000748,0.000695,0.000695,0.000000,0.000000
8,0.000734,0.000734,0.000697,0.000697,0.000000,0.000000
9,0.000730,0.000730,0.000724,0.000724,0.000000,0.000000
