shuffle_replay,snr,loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
False,None,0.444911,0.481317,0.444303,72.75 M Ops,8.42 M Ops,11.85 M Ops,0.2673 M,0.5048 %,62.10 uJ,0.535824,0.473888,0.563750
shuffle_replay,snr,loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
False,None,0.444911,0.481317,0.444303,72.75 M Ops,8.42 M Ops,11.85 M Ops,0.2673 M,0.5048 %,62.10 uJ,0.535824,0.473888,0.563750
