epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.530690,0.530690,0.456049,0.272128,0.272128,0.377851
1,0.398509,0.398509,0.377157,0.257181,0.257181,0.360235
2,0.374948,0.374948,0.369759,0.269604,0.269604,0.372249
3,0.358234,0.358234,0.364072,0.262368,0.262368,0.360462
4,0.343255,0.343255,0.358657,0.285995,0.285995,0.373263
5,0.333198,0.333198,0.354604,0.280784,0.280784,0.369364
6,0.327990,0.327990,0.353691,0.290641,0.290641,0.373538
7,0.324742,0.324742,0.353259,0.252406,0.252406,0.354781
8,0.319405,0.319405,0.351832,0.285750,0.285750,0.371388
9,0.314919,0.314919,0.349917,0.271615,0.271615,0.368353
10,0.311482,0.311482,0.349960,0.255226,0.255226,0.353269
11,0.305894,0.305894,0.346983,0.263203,0.263203,0.358503
12,0.303287,0.303287,0.346095,0.269575,0.269575,0.361191
13,0.302442,0.302442,0.346248,0.274519,0.274519,0.365727
