epoch,train_loss,train_ce,train_mse,train_distill,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,2.366845,2.203559,0.077958,0.155490,2.357936,2.208725,0.081555,0.141056,"tensor(0.0378, device='cuda:1')","tensor([0.0000, 0.0286, 0.0000, 0.0000, 0.0000, 0.0000, 0.3250, 0.0000, 0.0000],
       device='cuda:1')","tensor(0.0135, device='cuda:1')","tensor(0.0082, device='cuda:1')"
1,2.351386,2.189060,0.075160,0.154809,2.328524,2.179459,0.078492,0.141216,"tensor(0.0946, device='cuda:1')","tensor([0.0000, 0.1143, 0.0000, 0.0455, 0.0000, 0.0000, 0.7250, 0.0000, 0.0000],
       device='cuda:1')","tensor(0.0408, device='cuda:1')","tensor(0.1300, device='cuda:1')"
2,2.313585,2.152786,0.072908,0.153508,2.271441,2.125582,0.078762,0.137983,"tensor(0.3054, device='cuda:1')","tensor([0.2903, 0.5143, 0.0000, 0.4545, 0.5862, 0.3750, 1.0000, 0.0000, 0.0000],
       device='cuda:1')","tensor(0.3093, device='cuda:1')","tensor(0.3936, device='cuda:1')"
3,2.255236,2.095570,0.074506,0.152215,2.192294,2.049290,0.083617,0.134642,"tensor(0.5811, device='cuda:1')","tensor([0.9677, 0.8000, 0.2386, 0.8636, 1.0000, 0.7917, 1.0000, 0.0000, 0.3448],
       device='cuda:1')","tensor(0.5973, device='cuda:1')","tensor(0.6797, device='cuda:1')"
4,2.178923,2.019100,0.083111,0.151512,2.094926,1.952197,0.092471,0.133481,"tensor(0.7568, device='cuda:1')","tensor([1.0000, 0.7143, 0.7727, 0.9773, 1.0000, 0.9583, 1.0000, 0.0600, 0.6207],
       device='cuda:1')","tensor(0.7346, device='cuda:1')","tensor(0.8144, device='cuda:1')"
5,2.083316,1.923014,0.093393,0.150963,1.975907,1.832095,0.099297,0.133882,"tensor(0.8432, device='cuda:1')","tensor([1.0000, 0.8000, 0.9091, 1.0000, 1.0000, 1.0000, 1.0000, 0.2600, 0.7931],
       device='cuda:1')","tensor(0.8274, device='cuda:1')","tensor(0.8501, device='cuda:1')"
6,1.964946,1.805262,0.099631,0.149721,1.830898,1.686274,0.104167,0.134207,"tensor(0.8838, device='cuda:1')","tensor([1.0000, 0.8000, 0.9659, 1.0000, 1.0000, 1.0000, 1.0000, 0.4400, 0.8276],
       device='cuda:1')","tensor(0.8724, device='cuda:1')","tensor(0.8798, device='cuda:1')"
7,1.822291,1.664158,0.104985,0.147635,1.656690,1.512761,0.109435,0.132985,"tensor(0.9027, device='cuda:1')","tensor([1.0000, 0.8571, 0.9659, 1.0000, 1.0000, 1.0000, 1.0000, 0.5400, 0.8276],
       device='cuda:1')","tensor(0.8940, device='cuda:1')","tensor(0.8967, device='cuda:1')"
8,1.660148,1.503539,0.112551,0.145353,1.461017,1.318592,0.115338,0.130891,"tensor(0.9162, device='cuda:1')","tensor([1.0000, 0.9714, 0.9545, 1.0000, 1.0000, 1.0000, 1.0000, 0.5800, 0.8276],
       device='cuda:1')","tensor(0.9097, device='cuda:1')","tensor(0.9091, device='cuda:1')"
9,1.489059,1.334308,0.118591,0.142891,1.255479,1.113807,0.122747,0.129397,"tensor(0.9243, device='cuda:1')","tensor([1.0000, 0.9714, 0.9545, 1.0000, 1.0000, 1.0000, 1.0000, 0.6400, 0.8276],
       device='cuda:1')","tensor(0.9190, device='cuda:1')","tensor(0.9175, device='cuda:1')"
10,1.319717,1.168986,0.125036,0.138228,1.051114,0.913015,0.127318,0.125367,"tensor(0.9514, device='cuda:1')","tensor([1.0000, 0.9714, 0.9659, 1.0000, 1.0000, 1.0000, 1.0000, 0.8000, 0.8621],
       device='cuda:1')","tensor(0.9479, device='cuda:1')","tensor(0.9445, device='cuda:1')"
11,1.173328,1.027470,0.129392,0.132919,0.886882,0.753796,0.131012,0.119985,"tensor(0.9568, device='cuda:1')","tensor([1.0000, 0.9714, 0.9659, 1.0000, 1.0000, 1.0000, 0.9750, 0.8400, 0.8966],
       device='cuda:1')","tensor(0.9541, device='cuda:1')","tensor(0.9506, device='cuda:1')"
12,1.052190,0.912275,0.132964,0.126619,0.759286,0.631432,0.134689,0.114384,"tensor(0.9649, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9200, 0.9310],
       device='cuda:1')","tensor(0.9639, device='cuda:1')","tensor(0.9609, device='cuda:1')"
13,0.952237,0.818437,0.139532,0.119846,0.655978,0.532932,0.137916,0.109255,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9600, 0.9310],
       device='cuda:1')","tensor(0.9716, device='cuda:1')","tensor(0.9703, device='cuda:1')"
14,0.873450,0.745658,0.141171,0.113675,0.573761,0.455514,0.139240,0.104323,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9728, device='cuda:1')","tensor(0.9718, device='cuda:1')"
15,0.810886,0.688124,0.145970,0.108165,0.506127,0.392036,0.143264,0.099765,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9729, device='cuda:1')","tensor(0.9720, device='cuda:1')"
16,0.760263,0.642914,0.146185,0.102731,0.454398,0.344945,0.143933,0.095059,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9655],
       device='cuda:1')","tensor(0.9767, device='cuda:1')","tensor(0.9754, device='cuda:1')"
17,0.720117,0.607770,0.145269,0.097821,0.417746,0.312253,0.146680,0.090826,"tensor(0.9649, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9545, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9655, device='cuda:1')","tensor(0.9655, device='cuda:1')"
18,0.688881,0.580556,0.146099,0.093715,0.383492,0.282185,0.144719,0.086836,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9713, device='cuda:1')","tensor(0.9702, device='cuda:1')"
19,0.663491,0.559496,0.144492,0.089545,0.363637,0.266155,0.143958,0.083086,"tensor(0.9757, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9762, device='cuda:1')","tensor(0.9757, device='cuda:1')"
20,0.644366,0.543618,0.140493,0.086698,0.348002,0.253582,0.143365,0.080084,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9429, 0.9318, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9702, device='cuda:1')","tensor(0.9679, device='cuda:1')"
21,0.630513,0.532558,0.138638,0.084091,0.338843,0.246415,0.144674,0.077961,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9429, 0.9318, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9702, device='cuda:1')","tensor(0.9679, device='cuda:1')"
22,0.620184,0.524265,0.139473,0.081971,0.318137,0.228699,0.140964,0.075342,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9432, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9724, device='cuda:1')","tensor(0.9708, device='cuda:1')"
23,0.611381,0.517191,0.134681,0.080722,0.325461,0.237320,0.139182,0.074222,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9432, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.9310],
       device='cuda:1')","tensor(0.9724, device='cuda:1')","tensor(0.9708, device='cuda:1')"
