epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.852323,0.852323,0.685329,1.542203,1.542203,0.890835
1,0.723212,0.723212,0.620768,1.531906,1.531906,0.886912
2,0.710173,0.710173,0.613707,1.533033,1.533033,0.888289
3,0.701185,0.701185,0.609174,1.522906,1.522906,0.885361
4,0.692779,0.692779,0.605079,1.499522,1.499522,0.875773
5,0.685118,0.685118,0.601420,1.488934,1.488934,0.871955
6,0.680192,0.680192,0.599022,1.497016,1.497016,0.876543
7,0.679988,0.679988,0.598823,1.488937,1.488937,0.871961
8,0.679352,0.679352,0.598878,1.485356,1.485356,0.870736
9,0.678540,0.678540,0.598112,1.487840,1.487840,0.871775
