epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.541179,0.541179,0.529569,0.887208,0.887208,0.660249
1,0.409798,0.409798,0.459072,0.825291,0.825291,0.633859
2,0.383696,0.383696,0.442749,0.766346,0.766346,0.612005
3,0.369329,0.369329,0.434815,0.763072,0.763072,0.611091
4,0.361084,0.361084,0.430098,0.769254,0.769254,0.613347
5,0.356168,0.356168,0.427395,0.775194,0.775194,0.614676
6,0.353292,0.353292,0.425942,0.773565,0.773565,0.611878
7,0.348251,0.348251,0.422577,0.779774,0.779774,0.613387
8,0.346853,0.346853,0.421854,0.783654,0.783654,0.614417
9,0.345152,0.345152,0.421025,0.784426,0.784426,0.614153
