epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,0.736303,0.729461,0.068424,0.079368,0.285609,0.282442,0.031675,0.058545
1,0.509648,0.506212,0.034360,0.092407,0.199448,0.197117,0.023302,0.059951
2,0.376956,0.374058,0.028982,0.093112,0.144075,0.141905,0.021699,0.062768
3,0.295369,0.292624,0.027449,0.093513,0.108134,0.106089,0.020447,0.063023
4,0.242052,0.239387,0.026652,0.093134,0.086833,0.084794,0.020393,0.061058
5,0.207723,0.204975,0.027474,0.096944,0.072595,0.070527,0.020679,0.067050
6,0.187158,0.184628,0.025303,0.099218,0.062808,0.060740,0.020672,0.068429
7,0.175333,0.172865,0.024686,0.098367,0.055985,0.053677,0.023084,0.072629
8,0.163061,0.160633,0.024278,0.098063,0.050516,0.048506,0.020102,0.067005
9,0.159887,0.157475,0.024122,0.097974,0.047229,0.044995,0.022340,0.074196
10,0.153129,0.150717,0.024123,0.096607,0.043670,0.041635,0.020357,0.067502
11,0.150962,0.148565,0.023971,0.096754,0.041541,0.039544,0.019969,0.072013
12,0.146799,0.144454,0.023452,0.097393,0.040032,0.038068,0.019644,0.070202
13,0.145675,0.143336,0.023390,0.100149,0.038423,0.036390,0.020322,0.074099
14,0.146123,0.143816,0.023072,0.104268,0.037551,0.035634,0.019175,0.078344
15,0.143265,0.141014,0.022513,0.106213,0.036778,0.034852,0.019256,0.077959
16,0.139664,0.137450,0.022142,0.105820,0.036284,0.034377,0.019070,0.082896
17,0.143216,0.141021,0.021955,0.105835,0.035961,0.034139,0.018219,0.072890
18,0.140047,0.137866,0.021811,0.106138,0.035551,0.033531,0.020198,0.076546
19,0.137294,0.135140,0.021543,0.106846,0.034971,0.033153,0.018185,0.074464
20,0.139367,0.137227,0.021404,0.108060,0.034518,0.032712,0.018062,0.078893
21,0.139683,0.137569,0.021145,0.108647,0.033747,0.031970,0.017767,0.077012
22,0.136700,0.134608,0.020921,0.108670,0.033947,0.032155,0.017921,0.077365
23,0.133803,0.131713,0.020893,0.108782,0.033217,0.031297,0.019200,0.083201
24,0.134433,0.132359,0.020737,0.108967,0.033423,0.031488,0.019343,0.082087
25,0.135994,0.133939,0.020547,0.109918,0.033086,0.031233,0.018526,0.082151
26,0.136633,0.134601,0.020323,0.111227,0.033016,0.031085,0.019308,0.083386
27,0.136511,0.134507,0.020039,0.111929,0.033235,0.031391,0.018444,0.081402
28,0.136297,0.134314,0.019823,0.112853,0.032567,0.030780,0.017870,0.082501
29,0.135468,0.133501,0.019666,0.113650,0.033024,0.031227,0.017966,0.086629
30,0.138069,0.136112,0.019571,0.114809,0.032520,0.030719,0.018017,0.086621
31,0.134905,0.132961,0.019435,0.115584,0.032629,0.030721,0.019074,0.088858
32,0.137614,0.135681,0.019333,0.116295,0.032112,0.030380,0.017314,0.087875
33,0.139693,0.137767,0.019263,0.116533,0.032269,0.030534,0.017346,0.089331
34,0.135159,0.133240,0.019196,0.116953,0.031766,0.029887,0.018785,0.092622
35,0.133725,0.131819,0.019056,0.117581,0.031645,0.029835,0.018107,0.091665
36,0.135221,0.133329,0.018925,0.118014,0.032011,0.030212,0.017992,0.090289
37,0.134818,0.132937,0.018818,0.118764,0.031784,0.029885,0.018993,0.095108
38,0.134436,0.132561,0.018751,0.119576,0.030821,0.029046,0.017759,0.092346
39,0.135503,0.133634,0.018694,0.120274,0.030814,0.028936,0.018784,0.094769
40,0.132477,0.130615,0.018623,0.120939,0.031096,0.029338,0.017578,0.094202
41,0.132842,0.130980,0.018621,0.121600,0.031430,0.029616,0.018140,0.092742
42,0.132014,0.130155,0.018586,0.122150,0.030736,0.028845,0.018909,0.095387
43,0.135277,0.133424,0.018531,0.122590,0.030712,0.028909,0.018027,0.093944
44,0.132771,0.130932,0.018382,0.123077,0.030997,0.029219,0.017784,0.095170
45,0.133921,0.132093,0.018286,0.123474,0.030969,0.029141,0.018283,0.095296
