epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.653872,0.653872,0.585795,1.302338,1.302338,0.805762
1,0.553005,0.553005,0.537557,1.225879,1.225879,0.776499
2,0.527265,0.527265,0.525984,1.215159,1.215159,0.773552
3,0.516141,0.516141,0.520858,1.214955,1.214955,0.774723
4,0.508960,0.508960,0.517519,1.217456,1.217456,0.775146
5,0.503172,0.503172,0.515083,1.215782,1.215782,0.775229
6,0.498343,0.498343,0.512743,1.213796,1.213796,0.773385
7,0.495769,0.495769,0.511824,1.229863,1.229863,0.782488
8,0.493270,0.493270,0.510892,1.218524,1.218524,0.776877
9,0.489229,0.489229,0.508780,1.223500,1.223500,0.778896
