loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.448556, 0.447549, 0.465978, 154.35 M Ops, 17.88 M Ops, 10.34 M Ops, 0.7436 M, 0.4501 %, 63.68 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.448825, 0.447816, 0.466166, 154.35 M Ops, 17.88 M Ops, 10.34 M Ops, 0.7436 M, 0.4501 %, 63.68 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.448819, 0.447811, 0.466186, 154.35 M Ops, 17.90 M Ops, 10.34 M Ops, 0.7436 M, 0.4686 %, 63.69 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.443489, 0.442401, 0.462184, 154.34 M Ops, 17.98 M Ops, 10.24 M Ops, 0.7436 M, 0.4519 %, 63.30 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.443772, 0.442683, 0.462219, 154.34 M Ops, 18.00 M Ops, 10.22 M Ops, 0.7436 M, 0.4488 %, 63.21 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.443827, 0.442744, 0.462330, 154.34 M Ops, 17.48 M Ops, 7.91 M Ops, 0.7436 M, 0.3065 %, 52.14 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.448298, 0.447251, 0.465289, 154.34 M Ops, 17.50 M Ops, 7.91 M Ops, 0.7436 M, 0.3068 %, 52.16 uJ
