loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.415487, 0.409118, 0.429267, 0.738627, 50.92 M Ops, 9.27 M Ops, 1.96 M Ops, 0.2706 M, 0.2608 %, 17.34 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.417565, 0.410706, 0.430740, 0.737613, 50.92 M Ops, 8.86 M Ops, 1.96 M Ops, 0.2706 M, 0.2610 %, 16.97 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.417073, 0.410416, 0.430325, 0.737798, 50.92 M Ops, 9.44 M Ops, 1.96 M Ops, 0.2706 M, 0.2631 %, 17.49 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.415601, 0.408284, 0.429066, 0.739160, 50.92 M Ops, 9.47 M Ops, 1.96 M Ops, 0.2706 M, 0.2673 %, 17.52 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.420611, 0.413862, 0.431581, 0.735597, 50.92 M Ops, 9.60 M Ops, 1.96 M Ops, 0.2706 M, 0.2582 %, 17.64 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.420259, 0.412854, 0.432262, 0.736241, 50.92 M Ops, 6.17 M Ops, 1.96 M Ops, 0.2706 M, 0.2593 %, 14.55 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.417634, 0.410773, 0.430278, 0.737570, 50.92 M Ops, 9.06 M Ops, 1.96 M Ops, 0.2696 M, 0.2687 %, 17.15 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.417634, 0.410773, 0.430278, 0.737570, 50.92 M Ops, 9.06 M Ops, 1.96 M Ops, 0.2696 M, 0.2687 %, 17.15 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.417634, 0.410773, 0.430278, 0.737570, 50.92 M Ops, 9.06 M Ops, 1.96 M Ops, 0.2696 M, 0.2687 %, 17.15 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.417634, 0.410773, 0.430278, 0.737570, 50.92 M Ops, 9.06 M Ops, 1.96 M Ops, 0.2696 M, 0.2687 %, 17.15 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.417663, 0.410268, 0.429656, 0.737893, 50.92 M Ops, 9.42 M Ops, 1.96 M Ops, 0.2696 M, 0.2677 %, 17.47 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.420148, 0.412739, 0.431601, 0.736314, 52.94 M Ops, 6.86 M Ops, 2.07 M Ops, 0.2709 M, 0.2894 %, 15.72 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.417709, 0.411457, 0.431503, 0.737133, 51.81 M Ops, 7.02 M Ops, 1.96 M Ops, 0.2709 M, 0.2644 %, 15.31 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.420900, 0.412502, 0.431790, 0.736466, 51.81 M Ops, 6.94 M Ops, 1.96 M Ops, 0.2709 M, 0.2620 %, 15.24 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.418105, 0.411231, 0.430054, 0.737278, 49.80 M Ops, 7.40 M Ops, 1.84 M Ops, 0.2703 M, 0.2565 %, 15.11 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.418191, 0.411905, 0.430652, 0.736847, 49.80 M Ops, 7.43 M Ops, 1.84 M Ops, 0.2703 M, 0.2567 %, 15.14 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.418995, 0.412557, 0.430868, 0.736430, 49.74 M Ops, 9.69 M Ops, 1.84 M Ops, 0.2703 M, 0.2512 %, 17.17 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419610, 0.413646, 0.431317, 0.735735, 49.74 M Ops, 9.63 M Ops, 1.84 M Ops, 0.2703 M, 0.2482 %, 17.12 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.422152, 0.416096, 0.433606, 0.734169, 49.74 M Ops, 6.46 M Ops, 1.84 M Ops, 0.2703 M, 0.2473 %, 14.27 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.423537, 0.417623, 0.434241, 0.733194, 50.87 M Ops, 5.22 M Ops, 1.96 M Ops, 0.2706 M, 0.2554 %, 13.69 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.424316, 0.417232, 0.434809, 0.733443, 50.92 M Ops, 4.79 M Ops, 1.96 M Ops, 0.2706 M, 0.2543 %, 13.30 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.422934, 0.416855, 0.432972, 0.733684, 49.80 M Ops, 9.62 M Ops, 1.84 M Ops, 0.2703 M, 0.2468 %, 17.10 uJ
