epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WK_norm,train_grad_eta_hat_norm,train_grad_WQ_absmax,train_grad_WK_absmax,train_grad_absmax_all,train_grad_total_norm_pre,train_clip_rate,train_singleton_frac,val_loss,val_mse,val_mae
0,0.326341,0.326341,0.482267,16.897795,0.164728,0.000000,1.000000,0.000000,0.509773,0.830501,0.000000,0.000000,0.000000,0.000000,0.000000,0.645031,1.298481,0.500000,0.037017,0.277759,0.277759,0.443507
1,0.253972,0.253972,0.417874,19.020058,0.163313,0.000000,1.000000,0.000000,0.539012,0.776645,0.000000,0.000000,0.000000,0.000000,0.000000,0.260700,0.567705,0.000000,0.036038,0.248546,0.248546,0.408732
2,0.242148,0.242148,0.401399,19.424450,0.163940,0.000000,1.000000,0.000000,0.546795,0.764258,0.000000,0.000000,0.000000,0.000000,0.000000,0.862320,1.213521,0.500000,0.036112,0.242921,0.242921,0.401740
3,0.236741,0.236741,0.395903,19.227747,0.157029,0.000000,1.000000,0.000000,0.551384,0.760445,0.000000,0.000000,0.000000,0.000000,0.000000,0.330463,0.480575,0.000000,0.036035,0.239678,0.239678,0.399631
4,0.233986,0.233986,0.393367,20.782700,0.149559,0.000000,1.000000,0.000000,0.554607,0.752957,0.000000,0.000000,0.000000,0.000000,0.000000,0.473127,0.657926,0.250000,0.036112,0.236944,0.236944,0.395990
5,0.232014,0.232014,0.391326,21.942152,0.146694,0.000000,1.000000,0.000000,0.552982,0.752928,0.000000,0.000000,0.000000,0.000000,0.000000,0.397773,0.663324,0.250000,0.036112,0.236657,0.236657,0.394134
6,0.230730,0.230730,0.390062,19.445814,0.145394,0.000000,1.000000,0.000000,0.557629,0.738104,0.000000,0.000000,0.000000,0.000000,0.000000,0.232338,0.420634,0.000000,0.035383,0.235156,0.235156,0.393664
7,0.229160,0.229160,0.388270,22.419226,0.148182,0.000000,1.000000,0.000000,0.561789,0.727058,0.000000,0.000000,0.000000,0.000000,0.000000,0.384424,0.598559,0.000000,0.035642,0.234134,0.234134,0.392540
8,0.227890,0.227890,0.386965,19.499664,0.143854,0.000000,1.000000,0.000000,0.563333,0.721558,0.000000,0.000000,0.000000,0.000000,0.000000,0.272109,0.463086,0.000000,0.035585,0.233398,0.233398,0.392321
9,0.226649,0.226649,0.386343,23.024729,0.140831,0.000000,1.000000,0.000000,0.563324,0.726203,0.000000,0.000000,0.000000,0.000000,0.000000,0.171777,0.339425,0.000000,0.035445,0.231602,0.231602,0.390637
10,0.226005,0.226005,0.385724,22.961014,0.138218,0.000000,1.000000,0.000000,0.566636,0.717180,0.000000,0.000000,0.000000,0.000000,0.000000,0.244203,0.372131,0.000000,0.035296,0.231627,0.231627,0.389837
11,0.225867,0.225867,0.384873,23.382130,0.137515,0.000000,1.000000,0.000000,0.567790,0.729912,0.000000,0.000000,0.000000,0.000000,0.000000,0.242314,0.459934,0.000000,0.035996,0.231128,0.231128,0.389618
