epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WK_norm,train_grad_eta_hat_norm,train_grad_WQ_absmax,train_grad_WK_absmax,train_grad_absmax_all,train_singleton_frac,val_loss,val_mse,val_mae
0,0.420861,0.420861,0.546499,27.611687,0.171134,1.000000,0.647966,0.137020,0.368502,1.596767,215411337428992.000000,168804659298304.000000,0.000000,153089901412352.000000,139188215283712.000000,172934731988992.000000,0.049968,0.442046,0.442046,0.564716
1,0.415270,0.415270,0.543152,28.517206,0.169730,1.000000,0.639880,0.136015,0.365153,1.636454,14079437137920.000000,11571632652288.000000,0.000000,11761196455936.000000,10300451278848.000000,21805223718912.000000,0.052940,0.443075,0.443075,0.564580
2,0.422330,0.422330,0.547527,31.119320,0.167672,1.000000,0.630397,0.134976,0.360501,1.732886,1457061494784.000000,3292762390528.000000,0.000000,1057721237504.000000,2154116808704.000000,2993153212416.000000,0.056233,0.452338,0.452338,0.569574
3,0.419999,0.419999,0.545926,35.630020,0.161967,1.000000,0.631491,0.134989,0.361202,1.718974,18087607664640.000000,5062233391104.000000,0.000000,16293481185280.000000,3846144819200.000000,33570398830592.000000,0.057191,0.440458,0.440458,0.563207
4,0.416337,0.416337,0.543646,30.366451,0.157735,1.000000,0.626488,0.135289,0.358049,1.769096,202493023260672.000000,308782511865856.000000,0.000000,128710732216320.000000,244880507944960.000000,321117419855872.000000,0.057924,0.440285,0.440285,0.563248
5,0.413904,0.413904,0.542275,31.175510,0.157904,1.000000,0.624607,0.135350,0.356586,1.781163,2130913445027840.000000,417063721979904.000000,0.000000,1904466443601920.000000,307390143328256.000000,1960353880530944.000000,0.057165,0.440911,0.440911,0.563478
6,0.416372,0.416372,0.543382,29.198296,0.162705,1.000000,0.628977,0.134496,0.359753,1.744653,136914848116736.000000,234188742467584.000000,0.000000,95831897988096.000000,179961983127552.000000,393447757930496.000000,0.055572,0.438536,0.438536,0.559961
7,0.416351,0.416351,0.542092,31.551468,0.168312,1.000000,0.628271,0.134390,0.359403,1.741792,65260926795776.000000,227551894519808.000000,0.000000,40736148029440.000000,157020379054080.000000,159006374100992.000000,0.054181,0.438629,0.438629,0.558503
8,0.418075,0.418075,0.542579,27.344885,0.172648,1.000000,0.626527,0.134202,0.358535,1.736378,19737083248640.000000,33076518551552.000000,0.000000,16032592986112.000000,20113590222848.000000,38806345089024.000000,0.054646,0.443104,0.443104,0.562191
9,0.418840,0.418840,0.542999,33.323021,0.182010,1.000000,0.629583,0.135353,0.358775,1.748580,138871474126848.000000,247642655686656.000000,0.000000,126225019772928.000000,190662498344960.000000,211773823270912.000000,0.054884,0.440599,0.440599,0.560760
10,0.421452,0.421452,0.544787,29.411337,0.190546,1.000000,0.636286,0.135094,0.363038,1.688215,105705006469120.000000,242692109783040.000000,0.000000,63648906919936.000000,167940259772416.000000,291862697369600.000000,0.052529,0.441982,0.441982,0.558592
11,0.418929,0.418929,0.542667,26.179403,0.191156,1.000000,0.634858,0.134855,0.362457,1.687667,1081003753472.000000,3403651825664.000000,0.000000,855787667456.000000,3000605284352.000000,4370529959936.000000,0.052047,0.441072,0.441072,0.559800
