epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.672260,0.672260,0.597400,1.378074,1.378074,0.833903
1,0.577059,0.577059,0.547770,1.347270,1.347270,0.824845
2,0.562479,0.562479,0.540686,1.320542,1.320542,0.814945
3,0.551358,0.551358,0.534967,1.314658,1.314658,0.813506
4,0.541820,0.541820,0.530466,1.302476,1.302476,0.808413
5,0.535347,0.535347,0.527288,1.314440,1.314440,0.811226
6,0.529435,0.529435,0.524361,1.312601,1.312601,0.808740
7,0.524082,0.524082,0.521935,1.297018,1.297018,0.804609
8,0.520619,0.520619,0.520505,1.294810,1.294810,0.805955
9,0.518235,0.518235,0.519570,1.303703,1.303703,0.806508
