epoch,train_loss,train_ce,train_rec,train_distill,train_consol,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.450128,0.286771,0.747277,0.155885,0.000001,0.267718,0.131207,0.827409,0.128236,0.131236,0.250865
1,0.340985,0.220636,0.798698,0.112362,0.000000,0.237613,0.123494,0.829586,0.105823,0.123484,0.242231
2,0.306977,0.200417,0.797565,0.098585,0.000001,0.227465,0.121359,0.824236,0.097863,0.121313,0.239560
3,0.289355,0.188310,0.786950,0.093176,0.000001,0.224619,0.121405,0.809037,0.095123,0.121442,0.239352
4,0.279042,0.179560,0.772928,0.091753,0.000001,0.223760,0.121874,0.797293,0.093912,0.121817,0.239488
5,0.272494,0.173035,0.762149,0.091837,0.000001,0.224495,0.121608,0.788915,0.094998,0.121628,0.239364
6,0.266988,0.167493,0.755651,0.091939,0.000001,0.225435,0.122666,0.783545,0.094934,0.122617,0.239818
7,0.262204,0.162861,0.749890,0.091845,0.000001,0.224934,0.122609,0.777233,0.094552,0.122519,0.239915
8,0.259287,0.159809,0.746524,0.092013,0.000001,0.225106,0.122571,0.777031,0.094765,0.122650,0.239661
9,0.258837,0.159314,0.746326,0.092060,0.000001,0.225248,0.122861,0.777266,0.094614,0.122823,0.239708
