loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.181850, 0.182670, 0.269399, 106.91 M Ops, 14.14 M Ops, 10.69 M Ops, 0.2093 M, 0.3265 %, 61.89 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.185007, 0.185875, 0.270779, 106.91 M Ops, 13.92 M Ops, 10.69 M Ops, 0.2093 M, 0.3262 %, 61.70 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.181721, 0.182544, 0.268793, 106.91 M Ops, 14.14 M Ops, 10.69 M Ops, 0.2093 M, 0.3267 %, 61.90 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.182521, 0.183333, 0.270012, 107.50 M Ops, 14.23 M Ops, 12.35 M Ops, 0.2148 M, 0.3940 %, 69.63 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.181093, 0.181899, 0.267627, 88.66 M Ops, 11.05 M Ops, 10.21 M Ops, 0.2093 M, 0.2422 %, 56.89 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.175467, 0.176233, 0.264169, 109.14 M Ops, 14.81 M Ops, 11.81 M Ops, 0.2304 M, 0.3295 %, 67.65 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.176080, 0.176850, 0.264658, 109.14 M Ops, 14.90 M Ops, 11.81 M Ops, 0.2304 M, 0.3297 %, 67.73 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.180714, 0.181458, 0.266324, 116.85 M Ops, 13.72 M Ops, 19.29 M Ops, 0.2351 M, 0.3438 %, 101.10 uJ
