epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.528598,0.528598,0.522977,0.830984,0.830984,0.635308
1,0.398276,0.398276,0.453070,0.789239,0.789239,0.619673
2,0.380506,0.380506,0.441707,0.758742,0.758742,0.608165
3,0.370998,0.370998,0.435322,0.749011,0.749011,0.600506
4,0.363362,0.363362,0.430222,0.736816,0.736816,0.595129
5,0.356317,0.356317,0.425718,0.717332,0.717332,0.586390
6,0.351035,0.351035,0.422251,0.715046,0.715046,0.585116
7,0.346136,0.346136,0.419200,0.725748,0.725748,0.588531
8,0.342227,0.342227,0.416393,0.722810,0.722810,0.585383
9,0.338845,0.338845,0.414323,0.724989,0.724989,0.585377
10,0.334893,0.334893,0.411728,0.726752,0.726752,0.585063
11,0.333196,0.333196,0.410625,0.721999,0.721999,0.583332
12,0.331987,0.331987,0.409842,0.732976,0.732976,0.586460
