epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,0.354522,0.515539,0.024485,0.021001,0.278083,0.404680,0.018595,0.023666
1,0.290035,0.424492,0.014439,0.024372,0.224242,0.327514,0.012565,0.024766
2,0.242940,0.356219,0.010751,0.025484,0.184977,0.270227,0.010239,0.025261
3,0.205387,0.301080,0.009244,0.026076,0.153046,0.223256,0.009135,0.026032
4,0.173560,0.254034,0.008611,0.026514,0.127487,0.185504,0.008567,0.026871
5,0.147313,0.215098,0.008373,0.027224,0.107764,0.156204,0.008475,0.027040
6,0.125934,0.183344,0.008260,0.027442,0.092494,0.133506,0.008430,0.027496
7,0.108555,0.157513,0.008205,0.027789,0.078981,0.113414,0.008405,0.027891
8,0.094011,0.135912,0.008128,0.027823,0.068460,0.097812,0.008298,0.027905
9,0.081855,0.117834,0.008107,0.027500,0.060614,0.086164,0.008243,0.027160
10,0.071839,0.102944,0.008084,0.027312,0.053575,0.075702,0.008222,0.027409
11,0.063862,0.091061,0.008112,0.027367,0.048264,0.067781,0.008260,0.027527
12,0.056946,0.080760,0.008133,0.027368,0.043809,0.061169,0.008225,0.027556
13,0.051113,0.072125,0.008045,0.027326,0.039899,0.055353,0.008222,0.027376
14,0.046066,0.064617,0.008041,0.027025,0.036560,0.050429,0.008132,0.026933
15,0.041730,0.058174,0.008025,0.026761,0.033845,0.046345,0.008225,0.025987
16,0.037966,0.052591,0.007989,0.026392,0.030966,0.042129,0.008084,0.026571
17,0.034636,0.047667,0.007925,0.026633,0.029179,0.039473,0.008080,0.026568
18,0.031847,0.043533,0.007895,0.026681,0.026679,0.035775,0.008035,0.027433
19,0.029291,0.039727,0.007901,0.026592,0.025428,0.033912,0.008038,0.027172
20,0.026987,0.036270,0.007961,0.026711,0.023949,0.031602,0.008264,0.026480
21,0.024985,0.033261,0.008022,0.026871,0.022495,0.029466,0.008207,0.027406
22,0.023150,0.030564,0.007954,0.026894,0.021448,0.027944,0.008132,0.027404
23,0.021650,0.028317,0.007985,0.027256,0.020398,0.026390,0.008115,0.027850
24,0.020545,0.026638,0.008056,0.027664,0.019660,0.025242,0.008218,0.027897
25,0.019514,0.025115,0.008032,0.027666,0.018601,0.023705,0.008140,0.027944
26,0.018531,0.023647,0.008043,0.027444,0.018178,0.023047,0.008197,0.027464
27,0.017460,0.022065,0.008020,0.027201,0.017545,0.022161,0.008085,0.027505
28,0.016670,0.020891,0.008020,0.027467,0.016731,0.020998,0.007983,0.028019
29,0.015875,0.019767,0.007899,0.027593,0.016659,0.020900,0.007965,0.027811
