h,mae,mse
1,0.23583318293094635,0.130588561296463
2,0.2751137316226959,0.18075776100158691
3,0.3013540208339691,0.22198040783405304
4,0.3221682608127594,0.2554827034473419
5,0.33587610721588135,0.2799065113067627
6,0.3438984453678131,0.2912949323654175
7,0.3492361605167389,0.302779883146286
8,0.3504680097103119,0.3057750165462494
9,0.3539394736289978,0.30728787183761597
10,0.3534340560436249,0.3077924847602844
11,0.35349681973457336,0.31033217906951904
12,0.35312995314598083,0.30983367562294006
13,0.35476210713386536,0.3110710680484772
14,0.3555397391319275,0.3119441568851471
15,0.3550008237361908,0.31280988454818726
16,0.3556031882762909,0.31105464696884155
17,0.3573414087295532,0.31256768107414246
18,0.35530704259872437,0.3109799921512604
19,0.35390499234199524,0.3127893805503845
20,0.3536679744720459,0.31066420674324036
21,0.3556187152862549,0.3108752369880676
22,0.35627883672714233,0.3129445016384125
23,0.35764363408088684,0.31540510058403015
24,0.35764896869659424,0.3165682852268219
25,0.36489009857177734,0.32709869742393494
26,0.370919406414032,0.33804014325141907
27,0.37733542919158936,0.3486388623714447
28,0.3800742030143738,0.3562661409378052
29,0.38227003812789917,0.3606800436973572
30,0.3826570510864258,0.3618638813495636
31,0.3848263919353485,0.3665068447589874
32,0.3847181499004364,0.3672678768634796
33,0.38852712512016296,0.36724936962127686
34,0.384965181350708,0.3643909692764282
35,0.3857729732990265,0.3682444095611572
36,0.38417670130729675,0.36672645807266235
37,0.38410574197769165,0.36533573269844055
38,0.38369354605674744,0.3625584840774536
39,0.38289499282836914,0.3623562753200531
40,0.3835853040218353,0.3611868917942047
41,0.3852671682834625,0.3615283966064453
42,0.3829837739467621,0.3566265404224396
43,0.3857504427433014,0.36022982001304626
44,0.3822460174560547,0.35710620880126953
45,0.3840339481830597,0.3573579788208008
46,0.38280561566352844,0.35684704780578613
47,0.38628336787223816,0.36265820264816284
48,0.3836870789527893,0.36223578453063965
49,0.38885584473609924,0.37254592776298523
50,0.3941190540790558,0.38220271468162537
51,0.39752453565597534,0.38954979181289673
52,0.4003772735595703,0.3968241214752197
53,0.40295177698135376,0.39791080355644226
54,0.4076865315437317,0.4022805392742157
55,0.407124787569046,0.40389639139175415
56,0.40651407837867737,0.403310626745224
57,0.4044347405433655,0.4016127288341522
58,0.4046785533428192,0.4011026620864868
59,0.4053228795528412,0.4052274525165558
60,0.40817123651504517,0.4060261845588684
61,0.4052107632160187,0.40284934639930725
62,0.40563151240348816,0.4015703797340393
63,0.40833809971809387,0.41270291805267334
64,0.4060136675834656,0.40843823552131653
65,0.40761154890060425,0.40742385387420654
66,0.40529125928878784,0.4019869565963745
67,0.4046006500720978,0.40331000089645386
68,0.4034932553768158,0.40060335397720337
69,0.4067181348800659,0.3979983329772949
70,0.4040977954864502,0.39693790674209595
71,0.4042090177536011,0.3993796408176422
72,0.40183424949645996,0.39779505133628845
73,0.4063093960285187,0.4035748243331909
74,0.4083147644996643,0.41222047805786133
75,0.4121094048023224,0.42002108693122864
76,0.41488268971443176,0.4262230396270752
77,0.4161474108695984,0.4302142560482025
78,0.4161832928657532,0.43022221326828003
79,0.4165830612182617,0.4325282871723175
80,0.41655001044273376,0.4346593916416168
81,0.41657671332359314,0.42996111512184143
82,0.4174289107322693,0.43490248918533325
83,0.41912925243377686,0.43837717175483704
84,0.4186825752258301,0.4374667704105377
85,0.4187186658382416,0.4351334273815155
86,0.41825273633003235,0.43403786420822144
87,0.4186786413192749,0.4371999204158783
88,0.4193565547466278,0.4415555000305176
89,0.4202112853527069,0.441806435585022
90,0.41780218482017517,0.43646472692489624
91,0.419633150100708,0.4413832426071167
92,0.41792741417884827,0.4373582899570465
93,0.4198378026485443,0.4322547912597656
94,0.4187397062778473,0.43022575974464417
95,0.41966554522514343,0.4346080422401428
96,0.41777458786964417,0.43683820962905884
