epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ,train_grad_WK,train_grad_eta_hat,train_singleton_frac,val_loss,val_mse,val_mae
0,0.480983,0.480983,0.570400,37.787544,0.318917,1.000000,0.551879,0.116674,0.346153,4.910356,0.000000,0.000000,0.000000,0.024390,0.430041,0.430041,0.543543
1,0.412403,0.412403,0.526450,37.845585,0.317952,1.000000,0.563558,0.118842,0.354652,4.531567,0.000000,0.000000,0.000000,0.024390,0.371975,0.371975,0.503501
