loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1
0.473094, 0.790244, 0.692923, 0.709660, 0.746591, 0.692923, 3563.03 M Ops, 72.55 M Ops, 1741.18 M Ops, 3.3469 M, 0.4842 %, 8074.74 uJ, 0.912162, 0.473684
loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1
0.479991, 0.775610, 0.704362, 0.710878, 0.719506, 0.704362, 3563.03 M Ops, 64.91 M Ops, 1741.23 M Ops, 3.3469 M, 0.4926 %, 8068.09 uJ, 0.864865, 0.543860
loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1
0.479665, 0.780488, 0.686166, 0.700380, 0.729404, 0.686166, 3563.03 M Ops, 34.35 M Ops, 1741.23 M Ops, 3.3469 M, 0.4917 %, 8040.59 uJ, 0.898649, 0.473684
