loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.420383, 0.413617, 0.431475, 0.735753, 49.80 M Ops, 9.56 M Ops, 1.84 M Ops, 0.2703 M, 0.2464 %, 17.05 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.416079, 0.409845, 0.430289, 0.738163, 49.80 M Ops, 8.94 M Ops, 1.84 M Ops, 0.2703 M, 0.2464 %, 16.49 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.416722, 0.410058, 0.430299, 0.738027, 49.15 M Ops, 8.97 M Ops, 1.24 M Ops, 0.2703 M, 0.2045 %, 13.79 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.422082, 0.415293, 0.433237, 0.734682, 49.15 M Ops, 1.24 M Ops, 43.90 M Ops, 0.2703 M, 0.2236 %, 203.07 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.433036, 0.418091, 0.436380, 0.732895, 49.15 M Ops, 1.13 M Ops, 43.90 M Ops, 0.2703 M, 0.2236 %, 202.97 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419282, 0.412702, 0.431848, 0.736338, 49.15 M Ops, 1.23 M Ops, 43.90 M Ops, 0.2703 M, 0.2225 %, 203.06 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.422093, 0.414576, 0.433143, 0.735140, 49.15 M Ops, 6.51 M Ops, 1.24 M Ops, 0.2703 M, 0.2051 %, 11.58 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.420457, 0.412745, 0.432738, 0.736310, 49.15 M Ops, 6.16 M Ops, 1.24 M Ops, 0.2703 M, 0.2038 %, 11.27 uJ
