epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,0.355320,0.515846,0.026289,0.024900,0.281082,0.408556,0.019797,0.027153
1,0.292236,0.427357,0.015276,0.026750,0.227604,0.332534,0.012528,0.027306
2,0.245481,0.360394,0.009941,0.026955,0.187334,0.274266,0.009147,0.027135
3,0.208147,0.305717,0.008157,0.027875,0.155770,0.227898,0.007929,0.028157
4,0.176944,0.259673,0.007373,0.028370,0.129509,0.189159,0.007244,0.028499
5,0.151206,0.221581,0.006957,0.028827,0.109407,0.159301,0.007139,0.029166
6,0.129042,0.188735,0.006689,0.028920,0.091991,0.133591,0.006722,0.027870
7,0.110645,0.161452,0.006506,0.029144,0.079258,0.114674,0.006665,0.029756
8,0.096403,0.140317,0.006392,0.029084,0.069436,0.100131,0.006518,0.028777
9,0.084503,0.122654,0.006306,0.028879,0.060754,0.087227,0.006493,0.028793
10,0.074235,0.107387,0.006282,0.028844,0.054391,0.077769,0.006472,0.028057
11,0.065888,0.094974,0.006270,0.028670,0.048686,0.069266,0.006503,0.027926
12,0.058465,0.083912,0.006306,0.029084,0.043294,0.061234,0.006522,0.029019
13,0.052047,0.074364,0.006303,0.029162,0.039408,0.055440,0.006546,0.028116
14,0.046754,0.066493,0.006295,0.029079,0.035906,0.050205,0.006595,0.029498
15,0.042173,0.059670,0.006310,0.028941,0.033021,0.045931,0.006559,0.028127
16,0.038160,0.053688,0.006331,0.028769,0.030287,0.041891,0.006501,0.028122
17,0.034633,0.048444,0.006324,0.028671,0.028268,0.038864,0.006549,0.028788
18,0.031389,0.043613,0.006333,0.028861,0.025794,0.035197,0.006521,0.028593
19,0.028638,0.039523,0.006328,0.028603,0.024009,0.032562,0.006479,0.028012
20,0.026319,0.036068,0.006337,0.028388,0.022678,0.030474,0.006698,0.028510
21,0.024337,0.033118,0.006340,0.028420,0.021578,0.028879,0.006611,0.027799
22,0.022518,0.030417,0.006326,0.028265,0.020569,0.027386,0.006595,0.027212
23,0.020964,0.028090,0.006358,0.028178,0.019416,0.025691,0.006556,0.028048
24,0.019593,0.026048,0.006363,0.028092,0.018627,0.024465,0.006662,0.027475
25,0.018341,0.024192,0.006349,0.028326,0.017774,0.023223,0.006606,0.028084
26,0.017293,0.022643,0.006326,0.028199,0.017098,0.022215,0.006611,0.028665
27,0.016395,0.021302,0.006335,0.028052,0.016622,0.021470,0.006683,0.026759
28,0.015696,0.020252,0.006359,0.028137,0.016234,0.020899,0.006673,0.026897
29,0.014941,0.019142,0.006330,0.028095,0.015651,0.020083,0.006566,0.028217
