epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.525698,0.525698,0.456483,0.278500,0.278500,0.376870
1,0.403964,0.403964,0.378927,0.249675,0.249675,0.352677
2,0.383931,0.383931,0.372032,0.294293,0.294293,0.384228
3,0.371452,0.371452,0.368182,0.290957,0.290957,0.383149
4,0.362666,0.362666,0.367704,0.299796,0.299796,0.385476
5,0.351356,0.351356,0.363927,0.261415,0.261415,0.362131
6,0.342645,0.342645,0.361758,0.277157,0.277157,0.368893
7,0.332607,0.332607,0.360183,0.288586,0.288586,0.370676
