loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407763, 0.405936, 0.434721, 111.21 M Ops, 14.56 M Ops, 5.58 M Ops, 0.6642 M, 0.4953 %, 38.77 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407008, 0.405155, 0.435003, 111.21 M Ops, 14.39 M Ops, 5.58 M Ops, 0.6642 M, 0.4957 %, 38.61 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407355, 0.405527, 0.434428, 110.43 M Ops, 14.52 M Ops, 5.01 M Ops, 0.6650 M, 0.3033 %, 36.11 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.406884, 0.405017, 0.434409, 110.43 M Ops, 14.41 M Ops, 5.18 M Ops, 0.6650 M, 0.4023 %, 36.81 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.408858, 0.406867, 0.435726, 110.43 M Ops, 14.48 M Ops, 5.93 M Ops, 0.6650 M, 0.4589 %, 40.31 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.408858, 0.406881, 0.435779, 110.43 M Ops, 14.49 M Ops, 5.90 M Ops, 0.6650 M, 0.4528 %, 40.19 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.405506, 0.403687, 0.433688, 110.43 M Ops, 14.33 M Ops, 5.91 M Ops, 0.6650 M, 0.4542 %, 40.07 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407286, 0.405407, 0.434688, 110.43 M Ops, 14.36 M Ops, 5.93 M Ops, 0.6650 M, 0.4595 %, 40.19 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407631, 0.405696, 0.434653, 110.43 M Ops, 14.38 M Ops, 5.93 M Ops, 0.6683 M, 0.4589 %, 40.21 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.405506, 0.403687, 0.433688, 110.43 M Ops, 14.33 M Ops, 5.91 M Ops, 0.6650 M, 0.4542 %, 40.07 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407983, 0.406097, 0.434479, 111.21 M Ops, 14.66 M Ops, 5.57 M Ops, 0.6642 M, 0.4902 %, 38.83 uJ
