loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407383, 0.405567, 0.433571, 111.13 M Ops, 13.99 M Ops, 5.20 M Ops, 0.6726 M, 0.3918 %, 36.52 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.408889, 0.407058, 0.434240, 112.99 M Ops, 14.09 M Ops, 5.54 M Ops, 0.6726 M, 0.5577 %, 38.18 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.405757, 0.403849, 0.432939, 111.13 M Ops, 13.96 M Ops, 5.21 M Ops, 0.6726 M, 0.3946 %, 36.51 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407219, 0.405337, 0.433729, 111.13 M Ops, 13.90 M Ops, 5.21 M Ops, 0.6726 M, 0.3944 %, 36.46 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.406007, 0.404091, 0.432960, 111.13 M Ops, 13.95 M Ops, 5.21 M Ops, 0.6726 M, 0.3944 %, 36.50 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.406400, 0.404525, 0.433337, 111.13 M Ops, 13.95 M Ops, 5.21 M Ops, 0.6726 M, 0.3946 %, 36.51 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.405820, 0.403907, 0.432920, 111.13 M Ops, 13.96 M Ops, 5.20 M Ops, 0.6726 M, 0.3935 %, 36.49 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.406626, 0.404732, 0.433487, 111.13 M Ops, 13.89 M Ops, 5.19 M Ops, 0.6726 M, 0.3850 %, 36.37 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.403796, 0.402232, 0.432364, 111.43 M Ops, 13.78 M Ops, 5.87 M Ops, 0.6726 M, 0.4679 %, 39.40 uJ
