loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.401704, 0.393281, 0.421794, 0.748746, 188.37 M Ops, 29.44 M Ops, 7.69 M Ops, 0.4806 M, 0.4169 %, 61.86 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.399834, 0.392051, 0.421839, 0.749531, 187.67 M Ops, 29.72 M Ops, 7.66 M Ops, 0.4782 M, 0.4169 %, 61.98 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.400092, 0.392451, 0.422960, 0.749275, 189.42 M Ops, 29.40 M Ops, 7.71 M Ops, 0.4843 M, 0.4206 %, 61.91 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.401708, 0.393387, 0.421832, 0.748678, 189.80 M Ops, 29.46 M Ops, 10.72 M Ops, 0.4877 M, 0.4352 %, 75.81 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.403188, 0.395277, 0.423681, 0.747470, 188.42 M Ops, 28.27 M Ops, 10.68 M Ops, 0.4830 M, 0.4335 %, 74.58 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.402029, 0.393485, 0.422641, 0.748615, 188.42 M Ops, 27.64 M Ops, 19.72 M Ops, 0.4830 M, 0.4332 %, 115.58 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.401354, 0.393678, 0.423133, 0.748491, 188.42 M Ops, 28.70 M Ops, 19.72 M Ops, 0.4830 M, 0.4360 %, 116.53 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.405734, 0.397180, 0.423946, 0.746254, 185.41 M Ops, 28.65 M Ops, 19.34 M Ops, 0.4829 M, 0.4097 %, 114.76 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.402520, 0.394957, 0.424187, 0.747674, 195.20 M Ops, 28.32 M Ops, 20.47 M Ops, 0.4835 M, 0.4497 %, 119.65 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.402497, 0.395204, 0.423894, 0.747517, 195.01 M Ops, 28.83 M Ops, 20.47 M Ops, 0.4818 M, 0.4488 %, 120.11 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.400882, 0.393297, 0.422632, 0.748735, 194.82 M Ops, 29.82 M Ops, 8.42 M Ops, 0.4818 M, 0.4249 %, 65.58 uJ
