data,variant,mse,mse_sd,mae,mae_sd
ETTh1,heterogeneous_dense,0.4150731461679307,0.005102290872639507,0.43421489232097416,0.004582576590349208
ETTh1,heterogeneous_no_memory,0.4140364256193069,0.00506466043034839,0.4339899219698184,0.004679280688889171
ETTh1,heterogeneous_sparse,0.4148363963616679,0.005019434845109944,0.43381955411333517,0.0042010976927302325
ETTh1,homogeneous_dense,0.4404763493852097,0.0039726394629598216,0.4535272843056873,0.004507673850573911
ETTh1,homogeneous_no_memory,0.43848116918929597,0.002417114957031929,0.4528814360754105,0.0041415157237395285
ETTh1,homogeneous_sparse,0.4396667483073559,0.005899668705200171,0.4540285409541121,0.00586930486619434
ETTh2,heterogeneous_dense,0.32212312631033796,0.0065108537455780425,0.3852322810603161,0.004560853578388816
ETTh2,heterogeneous_no_memory,0.32041578796262876,0.005043720186981229,0.3844203040883581,0.0033126722202307967
ETTh2,heterogeneous_sparse,0.3226183811324025,0.006481156707417537,0.3847595029380149,0.003434002761842343
ETTh2,homogeneous_dense,0.34241952921116114,0.013914558116584616,0.40362437093033093,0.01186242153022598
ETTh2,homogeneous_no_memory,0.33565174893356065,0.001127534535608402,0.3994144668812744,0.0009259057341383099
ETTh2,homogeneous_sparse,0.34306601086511107,0.011321484064440607,0.4044852585312579,0.007570036183625825
