data,heterogeneous,seed,comparison,delta_mse,delta_mae
ETTh1,False,7,dense-off,0.0038248559881254862,0.0010947951048278504
ETTh1,False,7,sparse-off,0.005235034583046805,0.0029703786579977076
ETTh1,False,7,sparse-dense,0.0014101785949213186,0.0018755835531698573
ETTh1,False,13,dense-off,0.0009719789097958897,0.0004956538508593678
ETTh1,False,13,sparse-off,-0.0008106179310626294,-0.0005522456222594174
ETTh1,False,13,sparse-dense,-0.001782596840858519,-0.0010478994731187852
ETTh1,False,21,dense-off,0.001188705689819658,0.00034709573514335457
ETTh1,False,21,sparse-off,-0.0008676792978044578,0.001023181600366685
ETTh1,False,21,sparse-dense,-0.002056384987624116,0.0006760858652233304
ETTh1,True,7,dense-off,0.0013732286591061071,0.00046887771988413096
ETTh1,True,7,sparse-off,0.0013826707835322138,0.000622367873110985
ETTh1,True,7,sparse-dense,9.442124426106702e-06,0.000153490153226854
ETTh1,True,13,dense-off,0.0011622391785683917,9.584911760723847e-05
ETTh1,True,13,sparse-off,0.0008572794379149151,-0.0007945113856099861
ETTh1,True,13,sparse-dense,-0.00030495974065347653,-0.0008903605032172246
ETTh1,True,21,dense-off,0.0005746938081966357,0.00011018421597613903
ETTh1,True,21,sparse-off,0.0001599620056357831,-0.00033896005695055464
ETTh1,True,21,sparse-dense,-0.0004147318025608526,-0.0004491442729266937
ETTh2,False,7,dense-off,0.023975394572326003,0.016848669289648843
ETTh2,False,7,sparse-off,0.008578061181382768,0.005267480884794784
ETTh2,False,7,sparse-dense,-0.015397333390943235,-0.01158118840485406
ETTh2,False,13,dense-off,-2.6103841883950984e-05,-0.0013129345274079385
ETTh2,False,13,sparse-off,0.018037481200950223,0.012673815789881582
ETTh2,False,13,sparse-dense,0.018063585042834174,0.01398675031728952
ETTh2,False,21,dense-off,-0.0036459498976404436,-0.0029060226150712243
ETTh2,False,21,sparse-off,-0.00437275658768177,-0.0027289217247259967
ETTh2,False,21,sparse-dense,-0.0007268066900413261,0.00017710089034522758
ETTh2,True,7,dense-off,0.006037771279190418,0.002483493509627177
ETTh2,True,7,sparse-off,-0.0005012997994717217,-0.002319633369812113
ETTh2,True,7,sparse-dense,-0.00653907107866214,-0.00480312687943929
ETTh2,True,13,dense-off,-0.0036960278460486107,-0.0014325280347360914
ETTh2,True,13,sparse-off,0.008779581132962788,0.005467518365853963
ETTh2,True,13,sparse-dense,0.012475608979011399,0.006900046400590054
ETTh2,True,21,dense-off,0.002780271609985674,0.001384965440982766
ETTh2,True,21,sparse-off,-0.0016705018241699454,-0.00213028844707136
ETTh2,True,21,sparse-dense,-0.004450773434155619,-0.003515253888054126
