heterogeneous,seed,comparison,delta_mse,delta_mae
False,7,dense-off,0.013900125280225745,0.008971732197238347
False,7,sparse-dense,-0.006993577398010958,-0.004852802425842101
False,7,sparse-off,0.006906547882214786,0.004118929771396246
False,13,dense-off,0.0004729375339559694,-0.00040864033827428536
False,13,sparse-dense,0.008140494100987827,0.0064694254220853675
False,13,sparse-off,0.008613431634943797,0.006060785083811082
False,21,dense-off,-0.0012286221039103928,-0.0012794634399639349
False,21,sparse-dense,-0.001391595838832721,0.00042659337778427897
False,21,sparse-off,-0.002620217942743114,-0.0008528700621796559
True,7,dense-off,0.0037054999691482626,0.001476185614755654
True,7,sparse-dense,-0.0032648144771180165,-0.002324818363106218
True,7,sparse-off,0.0004406854920302461,-0.000848632748350564
True,13,dense-off,-0.0012668943337401095,-0.0006683394585644264
True,13,sparse-dense,0.006085324619178961,0.0030048429486864148
True,13,sparse-off,0.004818430285438852,0.0023365034901219883
True,21,dense-off,0.0016774827090911548,0.0007475748284794526
True,21,sparse-dense,-0.002432752618358236,-0.00198219908049041
True,21,sparse-off,-0.0007552699092670812,-0.0012346242520109574
