epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.571354,0.571354,1.000000,0.572447,0.572447,0.000000,0.000000,0.659887,0.572317
1,0.544571,0.544571,1.000000,0.565102,0.565102,0.000000,0.000000,0.650576,0.564987
2,0.535959,0.535959,1.000000,0.559346,0.559346,0.000000,0.000000,0.640307,0.559260
3,0.531704,0.531704,1.000000,0.556012,0.556012,0.000000,0.000000,0.635639,0.555962
4,0.528231,0.528231,1.000000,0.556151,0.556151,0.000000,0.000000,0.635958,0.556063
5,0.525282,0.525282,1.000000,0.556286,0.556286,0.000000,0.000000,0.637528,0.556295
0,0.897974,0.571354,0.653240,0.148612,0.908117,0.572447,0.671341,0.169075,0.659887,0.572317
1,0.851079,0.544571,0.613016,0.151633,0.879006,0.565102,0.627809,0.168652,0.650576,0.564987
2,0.822754,0.535959,0.573590,0.153834,0.851782,0.559346,0.584871,0.172483,0.640307,0.559260
3,0.800567,0.531704,0.537726,0.156442,0.829541,0.556012,0.547059,0.175238,0.635639,0.555962
4,0.781019,0.528231,0.505575,0.158792,0.812474,0.556151,0.512645,0.177103,0.635958,0.556063
5,0.763829,0.525282,0.477094,0.161452,0.797999,0.556286,0.483426,0.180098,0.637528,0.556295
0,0.897974,0.571354,0.653240,0.148612,0.908117,0.572447,0.671341,0.169075,0.659887,0.572317
1,0.851079,0.544571,0.613016,0.151633,0.879006,0.565102,0.627809,0.168652,0.650576,0.564987
2,0.822754,0.535959,0.573590,0.153834,0.851782,0.559346,0.584871,0.172483,0.640307,0.559260
0,0.897899,0.571253,0.653293,0.153791,0.908822,0.573126,0.671392,0.174115,0.661137,0.572990
1,0.851700,0.544944,0.613512,0.155202,0.878902,0.564732,0.628339,0.169115,0.649611,0.564624
2,0.823588,0.536723,0.573730,0.152621,0.852038,0.559236,0.585603,0.168183,0.639631,0.559161
3,0.801359,0.532556,0.537607,0.153347,0.830094,0.555764,0.548661,0.169258,0.634897,0.555703
4,0.782133,0.529090,0.506087,0.154891,0.813664,0.555771,0.515788,0.170941,0.635630,0.555676
5,0.765724,0.526327,0.478795,0.158234,0.800581,0.556352,0.488458,0.174623,0.637442,0.556351
