epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.522840,0.522840,0.519877,0.852228,0.852228,0.642741
1,0.398824,0.398824,0.452862,0.785602,0.785602,0.619460
2,0.380719,0.380719,0.442268,0.761392,0.761392,0.608908
3,0.371150,0.371150,0.435656,0.747368,0.747368,0.599687
4,0.362573,0.362573,0.429384,0.736675,0.736675,0.595648
5,0.355158,0.355158,0.424585,0.716937,0.716937,0.586463
6,0.349865,0.349865,0.421238,0.713413,0.713413,0.584127
7,0.345930,0.345930,0.418942,0.723343,0.723343,0.587829
8,0.342516,0.342516,0.416568,0.715580,0.715580,0.583152
9,0.338999,0.338999,0.414193,0.717951,0.717951,0.583356
