epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.675785,0.675785,0.598960,1.320305,1.320305,0.813189
1,0.552511,0.552511,0.535800,1.232352,1.232352,0.775693
2,0.526602,0.526602,0.524300,1.212095,1.212095,0.769899
3,0.516043,0.516043,0.520828,1.201408,1.201408,0.765268
4,0.510017,0.510017,0.519305,1.243171,1.243171,0.785296
5,0.503912,0.503912,0.516514,1.211989,1.211989,0.772906
6,0.493156,0.493156,0.511777,1.222747,1.222747,0.775817
7,0.486589,0.486589,0.509412,1.242655,1.242655,0.788973
8,0.484303,0.484303,0.508337,1.243435,1.243435,0.788832
9,0.480295,0.480295,0.505980,1.265034,1.265034,0.794384
