epoch,train_loss,train_ce,train_rec,train_distill,train_consol,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.582164,0.385213,0.603055,0.190920,0.000007,0.370777,0.225339,0.655816,0.138879,0.225249,0.311836
1,0.361583,0.235284,0.653818,0.119761,0.000008,0.307290,0.197137,0.653065,0.103621,0.197216,0.285654
2,0.316064,0.217467,0.627520,0.092322,0.000007,0.277450,0.187808,0.609656,0.083545,0.187862,0.276211
3,0.294556,0.210297,0.590554,0.078354,0.000009,0.262985,0.183319,0.583048,0.073835,0.183381,0.271200
4,0.284818,0.206326,0.569378,0.072798,0.000009,0.257232,0.180586,0.565944,0.070986,0.180601,0.267764
5,0.280099,0.203750,0.553393,0.070816,0.000008,0.254638,0.178434,0.552360,0.070680,0.178437,0.265544
6,0.279071,0.202117,0.540352,0.071550,0.000007,0.255105,0.177397,0.539587,0.072312,0.177391,0.264353
7,0.279548,0.200924,0.530548,0.073319,0.000006,0.255760,0.176389,0.534501,0.074026,0.176371,0.263414
8,0.280749,0.200075,0.526123,0.075414,0.000004,0.257552,0.175842,0.531845,0.076392,0.175774,0.262428
9,0.281596,0.199462,0.526680,0.076868,0.000004,0.257764,0.175571,0.531100,0.076882,0.175592,0.262070
10,0.281791,0.199360,0.526375,0.077167,0.000004,0.258011,0.175483,0.530131,0.077226,0.175549,0.262099
11,0.282030,0.199289,0.526460,0.077477,0.000004,0.258135,0.175441,0.531419,0.077380,0.175419,0.262034
12,0.282350,0.199251,0.526702,0.077833,0.000004,0.258429,0.175366,0.531325,0.077750,0.175396,0.261957
13,0.282455,0.199164,0.526728,0.078024,0.000004,0.258320,0.175335,0.531374,0.077672,0.175392,0.262004
14,0.282497,0.199177,0.526928,0.078051,0.000004,0.258443,0.175311,0.532078,0.077811,0.175347,0.262068
15,0.282516,0.199161,0.526888,0.078086,0.000004,0.258662,0.175368,0.530984,0.077985,0.175363,0.261936
16,0.282567,0.199176,0.526925,0.078121,0.000004,0.258486,0.175376,0.531595,0.077794,0.175379,0.261987
17,0.282540,0.199132,0.526929,0.078138,0.000003,0.258416,0.175406,0.531034,0.077700,0.175346,0.261961
18,0.282547,0.199129,0.526968,0.078148,0.000004,0.258234,0.175296,0.532091,0.077617,0.175304,0.262028
19,0.282602,0.199171,0.526986,0.078161,0.000004,0.258497,0.175284,0.531814,0.077895,0.175350,0.261986
