loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.418926, 0.418051, 0.421567, 466.03 M Ops, 57.34 M Ops, 14.81 M Ops, 1.3069 M, 0.4066 %, 119.71 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.417040, 0.416214, 0.421106, 507.34 M Ops, 71.63 M Ops, 15.08 M Ops, 1.3116 M, 0.4151 %, 133.85 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.416084, 0.415191, 0.421826, 507.34 M Ops, 72.58 M Ops, 15.08 M Ops, 1.3116 M, 0.4166 %, 134.71 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.415097, 0.414522, 0.419935, 419.56 M Ops, 51.77 M Ops, 13.46 M Ops, 1.2861 M, 0.4327 %, 108.52 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.414438, 0.413809, 0.419959, 507.08 M Ops, 71.35 M Ops, 14.82 M Ops, 1.3112 M, 0.4120 %, 132.38 uJ
