epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.533653,0.533653,0.524633,0.863891,0.863891,0.649665
1,0.404460,0.404460,0.455513,0.804257,0.804257,0.621465
2,0.381180,0.381180,0.441381,0.771805,0.771805,0.609616
3,0.369196,0.369196,0.434340,0.771317,0.771317,0.609086
4,0.362823,0.362823,0.431470,0.773815,0.773815,0.607986
5,0.357335,0.357335,0.428296,0.775893,0.775893,0.611236
6,0.353390,0.353390,0.426086,0.775058,0.775058,0.610840
7,0.348443,0.348443,0.422965,0.784932,0.784932,0.613218
8,0.346140,0.346140,0.421306,0.778473,0.778473,0.610248
9,0.344711,0.344711,0.420605,0.769212,0.769212,0.605774
10,0.343597,0.343597,0.419817,0.769104,0.769104,0.606424
11,0.341438,0.341438,0.418636,0.771308,0.771308,0.608215
12,0.339637,0.339637,0.417302,0.774578,0.774578,0.608794
13,0.338934,0.338934,0.417161,0.780680,0.780680,0.612230
14,0.335637,0.335637,0.415036,0.789273,0.789273,0.613565
15,0.335839,0.335839,0.415441,0.783550,0.783550,0.610193
16,0.334038,0.334038,0.414144,0.786763,0.786763,0.611498
