epoch,train_loss,train_score,train_distill,val_loss,val_score,val_distill
0,0.220803,0.157244,0.063559,0.107401,tensor(0.0003),0.059424
1,0.149824,0.087142,0.062682,0.099921,tensor(0.0003),0.059846
2,0.148219,0.086329,0.061890,0.099395,tensor(0.0001),0.062149
3,0.147665,0.082698,0.064968,0.103289,tensor(0.0002),0.067665
4,0.154382,0.084664,0.069718,0.103552,tensor(0.0001),0.069815
5,0.157275,0.084247,0.073028,0.105421,tensor(0.0001),0.072805
6,0.156237,0.079725,0.076512,0.115727,tensor(0.0002),0.080692
7,0.160956,0.081679,0.079277,0.112390,tensor(0.0001),0.079334
8,0.162324,0.080862,0.081461,0.112848,tensor(0.0001),0.079600
9,0.158139,0.075625,0.082514,0.110457,tensor(0.0001),0.081234
10,0.161852,0.079109,0.082743,0.109868,tensor(0.0002),0.080915
11,0.165948,0.082787,0.083161,0.110512,tensor(0.0002),0.081892
12,0.160848,0.077223,0.083626,0.111066,tensor(0.0002),0.082030
