loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.363950, 0.361405, 0.382286, 304.25 M Ops, 38.24 M Ops, 10.39 M Ops, 0.9977 M, 0.3887 %, 82.23 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.363950, 0.361405, 0.382286, 304.25 M Ops, 38.24 M Ops, 10.39 M Ops, 0.9977 M, 0.3887 %, 82.23 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.362980, 0.360406, 0.381825, 304.25 M Ops, 38.18 M Ops, 10.39 M Ops, 0.9977 M, 0.3887 %, 82.17 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.363458, 0.360846, 0.382511, 304.25 M Ops, 39.13 M Ops, 10.39 M Ops, 0.9977 M, 0.3874 %, 83.03 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.361223, 0.358579, 0.381069, 304.25 M Ops, 13.34 M Ops, 185.29 M Ops, 0.9977 M, 0.4283 %, 864.36 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.360309, 0.357702, 0.380310, 350.12 M Ops, 47.57 M Ops, 10.39 M Ops, 1.0141 M, 0.3885 %, 90.63 uJ
