epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,1.409235,0.258149,0.102579,0.871559,1.194830,0.083502,0.106222,0.765043
1,1.100957,0.105119,0.100562,0.820212,0.946322,0.046667,0.103348,0.747817
2,0.890191,0.085573,0.098830,0.722129,0.747580,0.038566,0.101704,0.650292
3,0.736367,0.083881,0.097196,0.621841,0.596300,0.034728,0.101943,0.547354
4,0.627048,0.080448,0.096367,0.508431,0.493523,0.032198,0.100802,0.444581
5,0.566136,0.081406,0.095823,0.378281,0.437497,0.031071,0.101786,0.322791
6,0.525981,0.078289,0.094299,0.278510,0.411635,0.030137,0.103252,0.254111
7,0.517474,0.080317,0.092251,0.225495,0.402209,0.029578,0.096518,0.213391
8,0.507465,0.077396,0.090791,0.194629,0.402276,0.028528,0.101879,0.193019
9,0.503895,0.076360,0.089472,0.175507,0.397922,0.028734,0.097507,0.173241
10,0.511473,0.080106,0.087934,0.161576,0.397482,0.028257,0.093944,0.156047
11,0.507443,0.078718,0.086852,0.147479,0.396205,0.028898,0.090534,0.145968
12,0.505449,0.078393,0.085152,0.139101,0.395443,0.028948,0.091401,0.144698
13,0.507700,0.079829,0.083765,0.142406,0.397199,0.028128,0.094867,0.141373
14,0.498768,0.076278,0.082732,0.139640,0.394031,0.028032,0.091451,0.136709
15,0.504212,0.078940,0.081819,0.138035,0.388739,0.027438,0.085607,0.136162
16,0.502900,0.078753,0.080624,0.133775,0.389337,0.026856,0.086827,0.134841
17,0.498545,0.077419,0.078981,0.138192,0.387106,0.027358,0.085176,0.137601
18,0.494393,0.075990,0.077901,0.135831,0.385104,0.027509,0.083268,0.149964
19,0.498007,0.077750,0.077218,0.134206,0.392732,0.026261,0.093470,0.137854
20,0.498635,0.078645,0.075486,0.134924,0.386825,0.027710,0.083565,0.150992
21,0.492018,0.076221,0.074184,0.138392,0.387547,0.027451,0.083073,0.143564
22,0.490157,0.075941,0.072635,0.142712,0.398173,0.027368,0.098400,0.157148
