data,heterogeneous,seed,comparison,delta_mse,delta_mae
ETTh1,False,7,dense-off,0.003313052943839212,0.0011873097582706382
ETTh1,False,7,sparse-off,0.0025905722296837297,0.0013556235968429364
ETTh1,False,7,sparse-dense,-0.0007224807141554823,0.0001683138385722982
ETTh1,False,13,dense-off,-0.0035032728322902384,-0.00037518174116801806
ETTh1,False,13,sparse-off,-0.00012190291347136117,0.0017789176411567853
ETTh1,False,13,sparse-dense,0.0033813699188188773,0.0021540993823248034
ETTh1,False,21,dense-off,0.021325785791026286,0.016181764495833972
ETTh1,False,21,sparse-off,0.0195129469587344,0.015129749495045752
ETTh1,False,21,sparse-dense,-0.0018128388322918854,-0.00105201500078822
ETTh1,True,7,dense-off,0.01121727037294451,0.005623544088643961
ETTh1,True,7,sparse-off,0.008227731971450325,0.004228784946042952
ETTh1,True,7,sparse-dense,-0.002989538401494185,-0.0013947591426010097
ETTh1,True,13,dense-off,0.006730235803261708,0.0045381778424640196
ETTh1,True,13,sparse-off,0.011144893696347302,0.007146385698923341
ETTh1,True,13,sparse-dense,0.004414657893085594,0.0026082078564593214
ETTh1,True,21,dense-off,0.00022154344157254702,0.00011842816093265984
ETTh1,True,21,sparse-off,-0.0004210379833364808,-0.0003292862752610759
ETTh1,True,21,sparse-dense,-0.0006425814249090278,-0.00044771443619373574
ETTh2,False,7,dense-off,-0.09869371945140992,-0.01616035814216732
ETTh2,False,7,sparse-off,-0.11117332583253414,-0.020526106522401832
ETTh2,False,7,sparse-dense,-0.01247960638112422,-0.004365748380234513
ETTh2,False,13,dense-off,0.017729864050582966,0.007985289616357916
ETTh2,False,13,sparse-off,-0.013622103840996047,2.497755413066738e-05
ETTh2,False,13,sparse-dense,-0.03135196789157901,-0.007960312062227248
ETTh2,False,21,dense-off,0.002608804532989284,0.0009813177124112782
ETTh2,False,21,sparse-off,0.010760115111280166,0.004862680015071286
ETTh2,False,21,sparse-dense,0.008151310578290882,0.0038813623026600075
ETTh2,True,7,dense-off,-0.15259837005353738,-0.038007680649697284
ETTh2,True,7,sparse-off,-0.13430820452251935,-0.03197426949639626
ETTh2,True,7,sparse-dense,0.018290165531018032,0.006033411153301027
ETTh2,True,13,dense-off,-0.008113160163494282,-0.002385907802682552
ETTh2,True,13,sparse-off,-0.011373631546491625,-0.003279602326128339
ETTh2,True,13,sparse-dense,-0.003260471382997343,-0.0008936945234457871
ETTh2,True,21,dense-off,0.00043324715950499026,-0.016654215222198898
ETTh2,True,21,sparse-off,-0.02270156018643199,-0.006074643005519187
ETTh2,True,21,sparse-dense,-0.02313480734593698,0.010579572216679711
