data,variant,mse,mse_sd,mae,mae_sd
ETTh1,heterogeneous_dense,0.5505263913055686,0.014068213269841676,0.5409813746967497,0.003388320000783891
ETTh1,heterogeneous_no_memory,0.5444700414329757,0.008716179467187418,0.5375546579994029,0.0005455072968482399
ETTh1,heterogeneous_sparse,0.5507872373277961,0.014527054703827853,0.5412366194559713,0.004019705283991824
ETTh1,homogeneous_dense,0.5731067815184018,0.02014113398827981,0.556903536827039,0.008572686577009677
ETTh1,homogeneous_no_memory,0.56606159288421,0.03275718154373179,0.5512389059893934,0.017483779717204596
ETTh1,homogeneous_sparse,0.5733887983091922,0.02211724214764094,0.5573270029004086,0.009664184079839244
ETTh2,heterogeneous_dense,0.96503528665093,0.07791949544363733,0.6733406762175903,0.02790257590770748
ETTh2,heterogeneous_no_memory,1.0184613810034389,0.07790911075307894,0.6923566107757831,0.03622582466049313
ETTh2,heterogeneous_sparse,0.9623335822516247,0.061025731768279565,0.6785804391664353,0.03344443586824828
ETTh2,homogeneous_dense,1.012757158234189,0.03887755946228806,0.7009750190858034,0.023174076522483947
ETTh2,homogeneous_no_memory,1.0388755085234684,0.07688993586149548,0.7033729360236028,0.029687067337975732
ETTh2,homogeneous_sparse,1.0008637370027182,0.05863442209182644,0.6981601197058694,0.02906593879829174
