run_id,layer,variant,data,seed,support_density,empty_read_fraction,mean_real_mass,spike_rate,membrane_diversity
tsmixer_ETTh1_p720_flatten_homogeneous_no_memory_seed7,embedding,homogeneous_no_memory,ETTh1,7,0.0,1.0,0.0,0.010708970949053764,0.0
tsmixer_ETTh1_p720_flatten_homogeneous_no_memory_seed7,block0,homogeneous_no_memory,ETTh1,7,0.0,1.0,0.0,0.02346407249569893,0.0
tsmixer_ETTh1_p720_flatten_homogeneous_no_memory_seed7,block1,homogeneous_no_memory,ETTh1,7,0.0,1.0,0.0,0.04377922788262367,0.0
tsmixer_ETTh1_p720_flatten_homogeneous_dense_seed7,embedding,homogeneous_dense,ETTh1,7,1.0,0.0,0.9429846405982971,0.012715241871774197,0.0
tsmixer_ETTh1_p720_flatten_homogeneous_dense_seed7,block0,homogeneous_dense,ETTh1,7,1.0,0.0,0.9479717016220093,0.024726295843720436,0.0
tsmixer_ETTh1_p720_flatten_homogeneous_dense_seed7,block1,homogeneous_dense,ETTh1,7,1.0,0.0,0.9503689408302307,0.04638339579105377,0.0
tsmixer_ETTh1_p720_flatten_homogeneous_sparse_seed7,embedding,homogeneous_sparse,ETTh1,7,0.4873194396495819,0.005199259612709284,0.9790465831756592,0.013339710421860218,0.0
tsmixer_ETTh1_p720_flatten_homogeneous_sparse_seed7,block0,homogeneous_sparse,ETTh1,7,0.46654701232910156,0.0017829921562224627,0.9898630976676941,0.025390625,0.0
tsmixer_ETTh1_p720_flatten_homogeneous_sparse_seed7,block1,homogeneous_sparse,ETTh1,7,0.4597715139389038,0.0017557708779349923,0.9911654591560364,0.047326743602752686,0.0
tsmixer_ETTh1_p720_flatten_heterogeneous_no_memory_seed7,embedding,heterogeneous_no_memory,ETTh1,7,0.0,1.0,0.0,0.00968922715401277,0.10376203060150146
tsmixer_ETTh1_p720_flatten_heterogeneous_no_memory_seed7,block0,heterogeneous_no_memory,ETTh1,7,0.0,1.0,0.0,0.017740885261446238,0.11638006567955017
tsmixer_ETTh1_p720_flatten_heterogeneous_no_memory_seed7,block1,heterogeneous_no_memory,ETTh1,7,0.0,1.0,0.0,0.02782538696192205,0.12414802610874176
