heterogeneous,seed,comparison,delta_mse,delta_mae
False,7,dense-off,-0.047690333253785355,-0.0074865241919483405
False,7,sparse-dense,-0.006601043547639851,-0.0020987172708311075
False,7,sparse-off,-0.054291376801425206,-0.009585241462779448
False,13,dense-off,0.007113295609146364,0.003805053937594949
False,13,sparse-dense,-0.013985298986380068,-0.0029031063399512225
False,13,sparse-off,-0.006872003377233704,0.0009019475976437263
False,21,dense-off,0.011967295162007785,0.008581541104122625
False,21,sparse-dense,0.0031692358729994985,0.0014146736509358937
False,21,sparse-off,0.015136531035007283,0.009996214755058519
True,7,dense-off,-0.07069054984029643,-0.01619206828052666
True,7,sparse-dense,0.007650313564761924,0.0023193260053500087
True,7,sparse-off,-0.06304023627553451,-0.013872742275176653
True,13,dense-off,-0.0006914621801162868,0.0010761350198907338
True,13,sparse-dense,0.0005770932550441255,0.0008572566665067671
True,13,sparse-off,-0.00011436892507216134,0.001933391686397501
True,21,dense-off,0.00032739530053876864,-0.00826789353063312
True,21,sparse-dense,-0.011888694385423004,0.005065928890242988
True,21,sparse-off,-0.011561299084884236,-0.0032019646403901314
