loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.403145, 0.401574, 0.432108, 110.74 M Ops, 13.64 M Ops, 5.20 M Ops, 0.6684 M, 0.3937 %, 36.17 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.403152, 0.401578, 0.432171, 110.74 M Ops, 13.67 M Ops, 5.19 M Ops, 0.6684 M, 0.3920 %, 36.16 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.426749, 0.424492, 0.450227, 29.59 M Ops, 3.07 M Ops, 4.80 M Ops, 0.0822 M, 0.3607 %, 24.83 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.403027, 0.401457, 0.432046, 110.74 M Ops, 13.65 M Ops, 5.20 M Ops, 0.6684 M, 0.3938 %, 36.18 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.403287, 0.401711, 0.432303, 110.74 M Ops, 13.65 M Ops, 5.20 M Ops, 0.6684 M, 0.3938 %, 36.18 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.403150, 0.401580, 0.432153, 110.74 M Ops, 13.65 M Ops, 5.20 M Ops, 0.6684 M, 0.3940 %, 36.18 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.403112, 0.401538, 0.432124, 110.74 M Ops, 13.63 M Ops, 5.20 M Ops, 0.6684 M, 0.3938 %, 36.16 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.405882, 0.404321, 0.433192, 111.91 M Ops, 13.76 M Ops, 5.59 M Ops, 0.6684 M, 0.5036 %, 38.11 uJ
