horizon,data,seed,variant,layer,spike_rate,membrane_diversity,evidence_ratio,memory_entropy
720,ETTh1,7,heterogeneous_no_memory,embedding,0.01353236538125202,0.10827414691448212,0.0,0.0
720,ETTh1,7,heterogeneous_no_memory,block0,0.023125265259295702,0.11580859124660492,0.0,0.0
720,ETTh1,7,heterogeneous_no_memory,block1,0.03083811525721103,0.1277393400669098,0.0,0.0
720,ETTh1,13,heterogeneous_no_memory,embedding,0.01397414447274059,0.11576934903860092,0.0,0.0
720,ETTh1,13,heterogeneous_no_memory,block0,0.021016022888943553,0.12631408870220184,0.0,0.0
720,ETTh1,13,heterogeneous_no_memory,block1,0.03325294761452824,0.14178776741027832,0.0,0.0
720,ETTh1,21,heterogeneous_no_memory,embedding,0.01508689345791936,0.1179475337266922,0.0,0.0
720,ETTh1,21,heterogeneous_no_memory,block0,0.019577752274926752,0.11952266097068787,0.0,0.0
720,ETTh1,21,heterogeneous_no_memory,block1,0.02366004919167608,0.13304899632930756,0.0,0.0
720,ETTh1,7,heterogeneous_retrieval,embedding,0.01580436812946573,0.11441481113433838,0.019605491310358047,0.9169198274612427
720,ETTh1,7,heterogeneous_retrieval,block0,0.026114742388017476,0.12369884550571442,0.020028794184327126,0.9107704162597656
720,ETTh1,7,heterogeneous_retrieval,block1,0.03518946538679302,0.13704469799995422,0.019729861989617348,0.9074216485023499
720,ETTh1,13,heterogeneous_retrieval,embedding,0.013323102321010083,0.11385685205459595,0.019343413412570953,0.9038411974906921
720,ETTh1,13,heterogeneous_retrieval,block0,0.019830196863040328,0.11693750321865082,0.019733058288693428,0.8981615900993347
720,ETTh1,13,heterogeneous_retrieval,block1,0.033448925940319896,0.13643775880336761,0.019294695928692818,0.896687924861908
720,ETTh1,21,heterogeneous_retrieval,embedding,0.015575174824334681,0.12243200838565826,0.01976647786796093,0.9153090119361877
720,ETTh1,21,heterogeneous_retrieval,block0,0.01941831421572715,0.1229526475071907,0.020022280514240265,0.9069197177886963
720,ETTh1,21,heterogeneous_retrieval,block1,0.025161430705338717,0.13824333250522614,0.019617360085248947,0.9085543751716614
720,ETTh1,7,homogeneous_no_memory,embedding,0.016887223348021507,0.0,0.0,0.0
720,ETTh1,7,homogeneous_no_memory,block0,0.03547512739896774,0.0,0.0,0.0
720,ETTh1,7,homogeneous_no_memory,block1,0.0690104141831398,0.0,0.0,0.0
720,ETTh1,13,homogeneous_no_memory,embedding,0.018149446696043015,0.0,0.0,0.0
720,ETTh1,13,homogeneous_no_memory,block0,0.04591836780309677,0.0,0.0,0.0
720,ETTh1,13,homogeneous_no_memory,block1,0.10995960980653763,0.0,0.0,0.0
720,ETTh1,21,homogeneous_no_memory,embedding,0.018548043444752693,0.0,0.0,0.0
720,ETTh1,21,homogeneous_no_memory,block0,0.03821215778589249,0.0,0.0,0.0
720,ETTh1,21,homogeneous_no_memory,block1,0.05230920389294624,0.0,0.0,0.0
720,ETTh1,7,homogeneous_retrieval,embedding,0.017285820096731186,0.0,0.019365346059203148,0.9770903587341309
720,ETTh1,7,homogeneous_retrieval,block0,0.03660448640584946,0.0,0.020353375002741814,0.9335503578186035
720,ETTh1,7,homogeneous_retrieval,block1,0.06978103518486023,0.0,0.018868431448936462,0.9409669041633606
720,ETTh1,13,homogeneous_retrieval,embedding,0.01667463779449463,0.0,0.018725406378507614,0.9914040565490723
720,ETTh1,13,homogeneous_retrieval,block0,0.03473107889294624,0.0,0.020485540851950645,0.9201413989067078
720,ETTh1,13,homogeneous_retrieval,block1,0.076636902987957,0.0,0.01814028061926365,0.9199914336204529
720,ETTh1,21,homogeneous_retrieval,embedding,0.02201583795249462,0.0,0.018481258302927017,0.9838723540306091
720,ETTh1,21,homogeneous_retrieval,block0,0.04597151279449463,0.0,0.020569050684571266,0.9333599805831909
720,ETTh1,21,homogeneous_retrieval,block1,0.07408588379621506,0.0,0.01890377886593342,0.9161291718482971
720,ETTh2,7,heterogeneous_no_memory,embedding,0.08282844070345163,0.1910436898469925,0.0,0.0
720,ETTh2,7,heterogeneous_no_memory,block0,0.09399247821420431,0.21871350705623627,0.0,0.0
720,ETTh2,7,heterogeneous_no_memory,block1,0.11291586793959141,0.2698599398136139,0.0,0.0
720,ETTh2,13,heterogeneous_no_memory,embedding,0.0652934992685914,0.2204522341489792,0.0,0.0
720,ETTh2,13,heterogeneous_no_memory,block0,0.06904031010344625,0.18408815562725067,0.0,0.0
720,ETTh2,13,heterogeneous_no_memory,block1,0.08459555357694626,0.20919470489025116,0.0,0.0
720,ETTh2,21,heterogeneous_no_memory,embedding,0.07635788293555379,0.23641380667686462,0.0,0.0
720,ETTh2,21,heterogeneous_no_memory,block0,0.07830104604363441,0.20025551319122314,0.0,0.0
720,ETTh2,21,heterogeneous_no_memory,block1,0.09881882136687636,0.2196052372455597,0.0,0.0
720,ETTh2,7,heterogeneous_retrieval,embedding,0.0824398105032742,0.19325067102909088,0.018851036205887794,0.9625706076622009
720,ETTh2,7,heterogeneous_retrieval,block0,0.09034531656652689,0.22362074255943298,0.01818443462252617,0.9512597322463989
720,ETTh2,7,heterogeneous_retrieval,block1,0.1072890106588602,0.2789824604988098,0.01769835315644741,0.9338330030441284
720,ETTh2,13,heterogeneous_retrieval,embedding,0.06534664425998926,0.21852977573871613,0.018130293115973473,0.9553778767585754
720,ETTh2,13,heterogeneous_retrieval,block0,0.0685188127681613,0.19081313908100128,0.019187388941645622,0.9521896243095398
720,ETTh2,13,heterogeneous_retrieval,block1,0.08499747235327959,0.22713211178779602,0.018178734928369522,0.9192404747009277
720,ETTh2,21,heterogeneous_retrieval,embedding,0.07796555897220969,0.24097006022930145,0.019655929878354073,0.9663192629814148
720,ETTh2,21,heterogeneous_retrieval,block0,0.0809417488053441,0.19986824691295624,0.019090592861175537,0.9569991827011108
720,ETTh2,21,heterogeneous_retrieval,block1,0.10315356496721506,0.21938790380954742,0.019003629684448242,0.9166187047958374
720,ETTh2,7,homogeneous_no_memory,embedding,0.11758609116077423,0.0,0.0,0.0
720,ETTh2,7,homogeneous_no_memory,block0,0.1381005495786667,0.0,0.0,0.0
720,ETTh2,7,homogeneous_no_memory,block1,0.17793366312980652,0.0,0.0,0.0
720,ETTh2,13,homogeneous_no_memory,embedding,0.08430325239896774,0.0,0.0,0.0
720,ETTh2,13,homogeneous_no_memory,block0,0.10213381797075272,0.0,0.0,0.0
720,ETTh2,13,homogeneous_no_memory,block1,0.14502285420894623,0.0,0.0,0.0
720,ETTh2,21,homogeneous_no_memory,embedding,0.08495429158210754,0.0,0.0,0.0
720,ETTh2,21,homogeneous_no_memory,block0,0.07494951039552689,0.0,0.0,0.0
720,ETTh2,21,homogeneous_no_memory,block1,0.09889189898967743,0.0,0.0,0.0
720,ETTh2,7,homogeneous_retrieval,embedding,0.11091624200344086,0.0,0.016897881403565407,0.9741683006286621
720,ETTh2,7,homogeneous_retrieval,block0,0.13236075639724731,0.0,0.01318538747727871,0.9838976263999939
720,ETTh2,7,homogeneous_retrieval,block1,0.19281461834907532,0.0,0.014344517141580582,0.9560516476631165
720,ETTh2,13,homogeneous_retrieval,embedding,0.09741708636283875,0.0,0.014321605674922466,0.9697577357292175
720,ETTh2,13,homogeneous_retrieval,block0,0.14198023080825806,0.0,0.018720407038927078,0.9536650776863098
720,ETTh2,13,homogeneous_retrieval,block1,0.1755952388048172,0.0,0.016854526475071907,0.9401386976242065
720,ETTh2,21,homogeneous_retrieval,embedding,0.09275350719690323,0.0,0.025850780308246613,0.9773595333099365
720,ETTh2,21,homogeneous_retrieval,block0,0.10051286220550537,0.0,0.01756184920668602,0.9762642979621887
720,ETTh2,21,homogeneous_retrieval,block1,0.13787467777729034,0.0,0.01608816720545292,0.9462260603904724
