horizon,data,seed,variant,layer,spike_rate,membrane_diversity,evidence_ratio,memory_entropy
96,ETTh1,7,heterogeneous_no_memory,embedding,0.012904575327411294,0.10774967819452286,0.0,0.0
96,ETTh1,7,heterogeneous_no_memory,block0,0.017744206998031586,0.11570358276367188,0.0,0.0
96,ETTh1,7,heterogeneous_no_memory,block1,0.030495985760353506,0.13665467500686646,0.0,0.0
96,ETTh1,13,heterogeneous_no_memory,embedding,0.016850685176905245,0.12328340858221054,0.0,0.0
96,ETTh1,13,heterogeneous_no_memory,block0,0.026769105345010757,0.13799923658370972,0.0,0.0
96,ETTh1,13,heterogeneous_no_memory,block1,0.040776466485112906,0.1614222377538681,0.0,0.0
96,ETTh1,21,heterogeneous_no_memory,embedding,0.025769291794858873,0.15302148461341858,0.0,0.0
96,ETTh1,21,heterogeneous_no_memory,block0,0.045101241674274206,0.22127194702625275,0.0,0.0
96,ETTh1,21,heterogeneous_no_memory,block1,0.06235717027448118,0.2726784348487854,0.0,0.0
96,ETTh1,7,heterogeneous_retrieval,embedding,0.01756483782082796,0.12434515357017517,0.01904280111193657,0.9100244045257568
96,ETTh1,7,heterogeneous_retrieval,block0,0.02698501164559275,0.141150563955307,0.018723445013165474,0.8921461701393127
96,ETTh1,7,heterogeneous_retrieval,block1,0.0471639814786613,0.17712333798408508,0.01842738687992096,0.9025843143463135
96,ETTh1,13,heterogeneous_retrieval,embedding,0.018395247985608876,0.1271207630634308,0.01883935183286667,0.9006890058517456
96,ETTh1,13,heterogeneous_retrieval,block0,0.028888311586342752,0.14184734225273132,0.018612517043948174,0.8822085857391357
96,ETTh1,13,heterogeneous_retrieval,block1,0.04412800166755915,0.1689455211162567,0.019003326073288918,0.8964486718177795
96,ETTh1,21,heterogeneous_retrieval,embedding,0.025350764975883067,0.1546243578195572,0.017158465459942818,0.900774359703064
96,ETTh1,21,heterogeneous_retrieval,block0,0.04724370129406452,0.19541361927986145,0.015346778556704521,0.8911524415016174
96,ETTh1,21,heterogeneous_retrieval,block1,0.07179062673822045,0.2350979745388031,0.01893540285527706,0.8977761268615723
96,ETTh1,7,homogeneous_no_memory,embedding,0.02396896295249462,0.0,0.0,0.0
96,ETTh1,7,homogeneous_no_memory,block0,0.04221141338348389,0.0,0.0,0.0
96,ETTh1,7,homogeneous_no_memory,block1,0.11508821696043015,0.0,0.0,0.0
96,ETTh1,13,homogeneous_no_memory,embedding,0.016847362741827965,0.0,0.0,0.0
96,ETTh1,13,homogeneous_no_memory,block0,0.03604644909501076,0.0,0.0,0.0
96,ETTh1,13,homogeneous_no_memory,block1,0.12352518737316132,0.0,0.0,0.0
96,ETTh1,21,homogeneous_no_memory,embedding,0.022866176441311836,0.0,0.0,0.0
96,ETTh1,21,homogeneous_no_memory,block0,0.04514774680137634,0.0,0.0,0.0
96,ETTh1,21,homogeneous_no_memory,block1,0.12278114259243011,0.0,0.0,0.0
96,ETTh1,7,homogeneous_retrieval,embedding,0.017405400052666664,0.0,0.01974039152264595,0.9586422443389893
96,ETTh1,7,homogeneous_retrieval,block0,0.0276227667927742,0.0,0.019657732918858528,0.9409870505332947
96,ETTh1,7,homogeneous_retrieval,block1,0.05521896108984947,0.0,0.0188938919454813,0.937421977519989
96,ETTh1,13,homogeneous_retrieval,embedding,0.017578125,0.0,0.019326101988554,0.9580711126327515
96,ETTh1,13,homogeneous_retrieval,block0,0.03950095549225807,0.0,0.020568784326314926,0.9229179620742798
96,ETTh1,13,homogeneous_retrieval,block1,0.14656409621238708,0.0,0.017184199765324593,0.9283248782157898
96,ETTh1,21,homogeneous_retrieval,embedding,0.023384353145956993,0.0,0.019285285845398903,0.9367688894271851
96,ETTh1,21,homogeneous_retrieval,block0,0.04793792590498924,0.0,0.01966206170618534,0.9330724477767944
96,ETTh1,21,homogeneous_retrieval,block1,0.11977837979793549,0.0,0.017656557261943817,0.9277945160865784
96,ETTh2,7,heterogeneous_no_memory,embedding,0.10323660355061293,0.24615478515625,0.0,0.0
96,ETTh2,7,heterogeneous_no_memory,block0,0.07399952039122581,0.18626712262630463,0.0,0.0
96,ETTh2,7,heterogeneous_no_memory,block1,0.11305537726730108,0.236516073346138,0.0,0.0
96,ETTh2,13,heterogeneous_no_memory,embedding,0.06691113859415054,0.22508813440799713,0.0,0.0
96,ETTh2,13,heterogeneous_no_memory,block0,0.05829148041084409,0.15871651470661163,0.0,0.0
96,ETTh2,13,heterogeneous_no_memory,block1,0.07176405796781182,0.15891121327877045,0.0,0.0
96,ETTh2,21,heterogeneous_no_memory,embedding,0.08191167050972581,0.24804557859897614,0.0,0.0
96,ETTh2,21,heterogeneous_no_memory,block0,0.06141382362693548,0.17805294692516327,0.0,0.0
96,ETTh2,21,heterogeneous_no_memory,block1,0.06990726059302688,0.16031742095947266,0.0,0.0
96,ETTh2,7,heterogeneous_retrieval,embedding,0.1071362104266882,0.26010939478874207,0.015036022290587425,0.9354745149612427
96,ETTh2,7,heterogeneous_retrieval,block0,0.07781608775258064,0.26976531744003296,0.014311510138213634,0.9176973700523376
96,ETTh2,7,heterogeneous_retrieval,block1,0.12398025393486023,0.3121509552001953,0.01574961096048355,0.9318050146102905
96,ETTh2,13,heterogeneous_retrieval,embedding,0.07319236127659678,0.22990359365940094,0.01948331668972969,0.9515893459320068
96,ETTh2,13,heterogeneous_retrieval,block0,0.05536511307582259,0.1654011756181717,0.020417263731360435,0.937021017074585
96,ETTh2,13,heterogeneous_retrieval,block1,0.06812685960903764,0.16653236746788025,0.017686545848846436,0.8914905786514282
96,ETTh2,21,heterogeneous_retrieval,embedding,0.0816791532561183,0.2537711560726166,0.016423014923930168,0.9607576727867126
96,ETTh2,21,heterogeneous_retrieval,block0,0.06294509954750538,0.18535009026527405,0.019765343517065048,0.9586142301559448
96,ETTh2,21,heterogeneous_retrieval,block1,0.072212478145957,0.1666688472032547,0.02012735791504383,0.9195343255996704
96,ETTh2,7,homogeneous_no_memory,embedding,0.11660289019346237,0.0,0.0,0.0
96,ETTh2,7,homogeneous_no_memory,block0,0.09917091578245163,0.0,0.0,0.0
96,ETTh2,7,homogeneous_no_memory,block1,0.1535528302192688,0.0,0.0,0.0
96,ETTh2,13,homogeneous_no_memory,embedding,0.07202646881341934,0.0,0.0,0.0
96,ETTh2,13,homogeneous_no_memory,block0,0.08288158476352692,0.0,0.0,0.0
96,ETTh2,13,homogeneous_no_memory,block1,0.12561118602752686,0.0,0.0,0.0
96,ETTh2,21,homogeneous_no_memory,embedding,0.08250956237316132,0.0,0.0,0.0
96,ETTh2,21,homogeneous_no_memory,block0,0.07084396481513977,0.0,0.0,0.0
96,ETTh2,21,homogeneous_no_memory,block1,0.08757174760103226,0.0,0.0,0.0
96,ETTh2,7,homogeneous_retrieval,embedding,0.12365805357694626,0.0,0.014788096770644188,0.9761003851890564
96,ETTh2,7,homogeneous_retrieval,block0,0.09248777478933334,0.0,0.017063764855265617,0.9962648749351501
96,ETTh2,7,homogeneous_retrieval,block1,0.16076743602752686,0.0,0.015990274026989937,0.9456401467323303
96,ETTh2,13,homogeneous_retrieval,embedding,0.08095503598451614,0.0,0.015045051462948322,0.9696099758148193
96,ETTh2,13,homogeneous_retrieval,block0,0.0763578861951828,0.0,0.01851317472755909,0.9648021459579468
96,ETTh2,13,homogeneous_retrieval,block1,0.10473798960447311,0.0,0.01708172634243965,0.9289901852607727
96,ETTh2,21,homogeneous_retrieval,embedding,0.08009140938520432,0.0,0.013774876482784748,0.9797743558883667
96,ETTh2,21,homogeneous_retrieval,block0,0.05406302958726883,0.0,0.019626593217253685,0.9699465036392212
96,ETTh2,21,homogeneous_retrieval,block1,0.07069780677556992,0.0,0.020896419882774353,0.9495616555213928
