architecture,horizon,variant,mse,mse_sd,mae,mae_sd
patch_snn,96,heterogeneous_no_memory,0.3856442394688509,0.021461071860668895,0.42379090983909623,0.01619749171337688
patch_snn,96,heterogeneous_retrieval,0.38266685763483815,0.018490464846141145,0.4209984428659868,0.014004533271782405
patch_snn,96,homogeneous_no_memory,0.4073236262592836,0.017954247129251786,0.4389583048544636,0.011965212116598806
patch_snn,96,homogeneous_retrieval,0.39796881571897474,0.005555828326447825,0.4327015092319228,0.003110637547581512
patch_snn,720,heterogeneous_no_memory,0.6798872191317894,0.0533678707442723,0.5803423597791072,0.02240626967000348
patch_snn,720,heterogeneous_retrieval,0.7119448446696316,0.031368071927444556,0.5925675706773563,0.014066535433581606
patch_snn,720,homogeneous_no_memory,0.7174800242151882,0.033274459681472586,0.6029146375990315,0.016035912311947727
patch_snn,720,homogeneous_retrieval,0.7362748283464359,0.041439791301795925,0.6113612384825793,0.01834886619142976
spike_tcn,96,heterogeneous_no_memory,0.3805085046787961,0.003947126173414708,0.41749073010159865,0.0046445275001960155
spike_tcn,96,heterogeneous_retrieval,0.38190667223009217,0.008823237378160579,0.4198405997504819,0.007769850801063593
spike_tcn,96,homogeneous_no_memory,0.3978562517587499,0.0246716918730925,0.43020040396685205,0.013962822761494425
spike_tcn,96,homogeneous_retrieval,0.3875625960789662,0.013149530869712114,0.4257018011558864,0.009945509129585287
spike_tcn,720,heterogeneous_no_memory,0.8000427659157715,0.04668360768118556,0.6285033752469611,0.022645508622912397
spike_tcn,720,heterogeneous_retrieval,0.8097557957916841,0.03117027474449542,0.6314603323297203,0.010588199181149154
spike_tcn,720,homogeneous_no_memory,0.7871034003066083,0.0621917089480969,0.624228143059765,0.01931974488738365
spike_tcn,720,homogeneous_retrieval,0.8111486391948669,0.04083018115113918,0.6277350795739608,0.012471343064557296
