architecture,horizon,data,variant,mse,mse_sd,mae,mae_sd
patch_snn,96,ETTh1,heterogeneous_no_memory,0.4242530302363588,0.00723084198667108,0.4429672569704952,0.005307216759428895
patch_snn,96,ETTh1,heterogeneous_retrieval,0.4261296394390402,0.008794933401494702,0.44350237657387853,0.006370946272597393
patch_snn,96,ETTh1,homogeneous_no_memory,0.4542161750819474,0.004505806558495905,0.4610296811773453,0.0031128657957639797
patch_snn,96,ETTh1,homogeneous_retrieval,0.4599879779357731,0.010425011907758103,0.46429666233763855,0.006328267600278663
patch_snn,96,ETTh2,heterogeneous_no_memory,0.34703544870134295,0.035694583072199124,0.4046145627076973,0.027094808368653918
patch_snn,96,ETTh2,heterogeneous_retrieval,0.33920407583063605,0.028189093688133132,0.39849450915809514,0.021663630876536253
patch_snn,96,ETTh2,homogeneous_no_memory,0.3604310774366198,0.031990757097890905,0.41688692853158194,0.021279330332589184
patch_snn,96,ETTh2,homogeneous_retrieval,0.3359496535021765,0.0008639397083431635,0.401106356126207,0.0007123329781656163
patch_snn,720,ETTh1,heterogeneous_no_memory,0.5608925951038275,0.017402708086423947,0.5475407876678912,0.010000812081717696
patch_snn,720,ETTh1,heterogeneous_retrieval,0.5740595493558588,0.02500619482209859,0.5533309767853264,0.012047690139918377
patch_snn,720,ETTh1,homogeneous_no_memory,0.565094319738891,0.016115093347775618,0.554434423592968,0.00945539647969701
patch_snn,720,ETTh1,homogeneous_retrieval,0.5967234709947444,0.017413941428428798,0.5697942264796426,0.004607540611075667
patch_snn,720,ETTh2,heterogeneous_no_memory,0.7988818431597515,0.09301238730757326,0.613143931890323,0.038869626902541796
patch_snn,720,ETTh2,heterogeneous_retrieval,0.8498301399834044,0.0401508230444276,0.6318041645693863,0.01611221013562075
patch_snn,720,ETTh2,homogeneous_no_memory,0.8698657286914854,0.08083653699326465,0.651394851605095,0.03756665791655068
patch_snn,720,ETTh2,homogeneous_retrieval,0.8758261856981274,0.07485054353758994,0.652928250485516,0.03640209280701796
spike_tcn,96,ETTh1,heterogeneous_no_memory,0.42399714903840535,0.0051381270093511355,0.444195650458824,0.0028009743033890235
spike_tcn,96,ETTh1,heterogeneous_retrieval,0.4285929959813955,0.003500872182969893,0.44851494941514697,0.003436740712535485
spike_tcn,96,ETTh1,homogeneous_no_memory,0.43001362030000845,0.006015233171120079,0.4474991521210665,0.004903791642730045
spike_tcn,96,ETTh1,homogeneous_retrieval,0.4388243512299071,0.008541145612227201,0.45542678098806855,0.008467079119956013
spike_tcn,96,ETTh2,heterogeneous_no_memory,0.3370198603191868,0.01303145262535081,0.3907858097443733,0.011962788085709025
spike_tcn,96,ETTh2,heterogeneous_retrieval,0.335220348478789,0.014525116803824721,0.3911662500858168,0.012820618957949488
spike_tcn,96,ETTh2,homogeneous_no_memory,0.36569888321749144,0.04649411014757051,0.4129016558126375,0.028435938642556904
spike_tcn,96,ETTh2,homogeneous_retrieval,0.3363008409280253,0.02929154036809266,0.3959768213237043,0.023174366371066
spike_tcn,720,ETTh1,heterogeneous_no_memory,0.5689865518843896,0.026018677051752585,0.5476980604316346,0.015096541538304677
spike_tcn,720,ETTh1,heterogeneous_retrieval,0.570323593221027,0.016979254688694618,0.5472755903601333,0.009581178484328125
spike_tcn,720,ETTh1,homogeneous_no_memory,0.5743317416527295,0.011656050465772073,0.5565587422701744,0.0070145832294826625
spike_tcn,720,ETTh1,homogeneous_retrieval,0.558881284292402,0.0115769675487006,0.5495932641380249,0.004695242913206062
spike_tcn,720,ETTh2,heterogeneous_no_memory,1.0310989799471535,0.06749415611129528,0.7093086900622875,0.030266470494765527
spike_tcn,720,ETTh2,heterogeneous_retrieval,1.0491879983623411,0.054940097012672336,0.7156450742993071,0.014577198490479337
spike_tcn,720,ETTh2,homogeneous_no_memory,0.999875058960487,0.12108369193576693,0.6918975438493558,0.04071784626304886
spike_tcn,720,ETTh2,homogeneous_retrieval,1.0634159940973316,0.0923724554459382,0.7058768950098968,0.029110914068371924
