run_id,data,head,variant,heterogeneous,retrieval,seed,mse,mae,best_epoch,epochs,parameters,seconds,initial_parameter_sha256,log_path,memory_gate,memory_entropy,mean_lag_patches,membrane_diversity,evidence_ratio,spike_rate,persistence_mse,window_mean_mse,off_mse,off_minus_full_mse,uniform_mse,uniform_minus_full_mse,recent_mse,recent_minus_full_mse,architecture,horizon
ETTh1_p96_flatten_heterogeneous_no_memory_seed7,ETTh1,flatten,heterogeneous_no_memory,True,False,7,0.4212993181292921,0.4416654998640337,7,10,133573,19.762920379638672,bd00433801a35f021af7c73a214fbf93faddbb68169224bfe7fc8f7f155a1363,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v1/forecasting/log/ett-first-20260914/ETTh1/260914/260914+model+myModel+seq_len+336+pred_len+96+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed7_flatten_heterogeneous_no_memory,0.0,0.0,0.0,0.131739392876625,0.0,0.0299246656941249,1.2943705953377025,0.7060436140933205,,,,,,,patch_snn,96
ETTh1_p96_flatten_heterogeneous_no_memory_seed13,ETTh1,flatten,heterogeneous_no_memory,True,False,13,0.4324931521006992,0.4488042343521707,6,10,133573,21.757811546325684,ae5705ce67dcab92dac738fce77fbb8c5a5abf304f26d4f96cfe0d20e77347d3,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v1/forecasting/log/ett-first-20260914/ETTh1/260914/260914+model+myModel+seq_len+336+pred_len+96+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed13_flatten_heterogeneous_no_memory,0.0,0.0,0.0,0.1309445798397064,0.0,0.0313031451078131,1.2943705953377025,0.7060436140933205,,,,,,,patch_snn,96
ETTh1_p96_flatten_heterogeneous_no_memory_seed21,ETTh1,flatten,heterogeneous_no_memory,True,False,21,0.4189666204790852,0.4384320366952813,6,10,133573,20.39091658592224,2f236d7fdba6cb074b64eb6e93289eb6e40223f050eeae3ed6a016cb6113bf70,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v1/forecasting/log/ett-first-20260914/ETTh1/260914/260914+model+myModel+seq_len+336+pred_len+96+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed21_flatten_heterogeneous_no_memory,0.0,0.0,0.0,0.1350826621055603,0.0,0.0284664642531424,1.2943705953377025,0.7060436140933205,,,,,,,patch_snn,96
ETTh1_p96_flatten_heterogeneous_retrieval_seed7,ETTh1,flatten,heterogeneous_retrieval,True,True,7,0.4229167622220119,0.4412594472801948,7,10,133573,52.40341925621033,bd00433801a35f021af7c73a214fbf93faddbb68169224bfe7fc8f7f155a1363,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v1/forecasting/log/ett-first-20260914/ETTh1/260914/260914+model+myModel+seq_len+336+pred_len+96+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed7_flatten_heterogeneous_retrieval,0.5217233300209045,0.9148961901664734,10.634997060202297,0.1344402581453323,0.0201343148946762,0.0308414375176653,1.2943705953377025,0.7060436140933205,0.4253662283061913,0.0024494660841793,0.4233401610787475,0.0004233988567355,0.4245378290621019,0.00162106684009,patch_snn,96
ETTh1_p96_flatten_heterogeneous_retrieval_seed13,ETTh1,flatten,heterogeneous_retrieval,True,True,13,0.4360792739896351,0.4506914525749498,6,10,133573,54.35142016410828,ae5705ce67dcab92dac738fce77fbb8c5a5abf304f26d4f96cfe0d20e77347d3,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v1/forecasting/log/ett-first-20260914/ETTh1/260914/260914+model+myModel+seq_len+336+pred_len+96+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed13_flatten_heterogeneous_retrieval,0.5186802744865417,0.8918777108192444,11.060775569756515,0.1353956460952758,0.0198934394866228,0.0319508661050349,1.2943705953377025,0.7060436140933205,0.4399350143495721,0.003855740359937,0.4373839408858461,0.001304666896211,0.4378270004102255,0.0017477264205904,patch_snn,96
ETTh1_p96_flatten_heterogeneous_retrieval_seed21,ETTh1,flatten,heterogeneous_retrieval,True,True,21,0.4193928821054736,0.4385562298664909,6,10,133573,48.02421689033508,2f236d7fdba6cb074b64eb6e93289eb6e40223f050eeae3ed6a016cb6113bf70,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v1/forecasting/log/ett-first-20260914/ETTh1/260914/260914+model+myModel+seq_len+336+pred_len+96+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed21_flatten_heterogeneous_retrieval,0.5129799246788025,0.9072461724281312,11.377837053500116,0.1392699480056762,0.0195085164159536,0.0295958223287016,1.2943705953377025,0.7060436140933205,0.422174664679599,0.0027817825741254,0.4202539819903677,0.000861099884894,0.4208315798508119,0.0014386977453382,patch_snn,96
ETTh1_p96_flatten_homogeneous_no_memory_seed7,ETTh1,flatten,homogeneous_no_memory,False,False,7,0.4554451509033754,0.4620695048215913,8,10,133573,20.638721227645878,bd00433801a35f021af7c73a214fbf93faddbb68169224bfe7fc8f7f155a1363,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v1/forecasting/log/ett-first-20260914/ETTh1/260914/260914+model+myModel+seq_len+336+pred_len+96+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed7_flatten_homogeneous_no_memory,0.0,0.0,0.0,0.0,0.0,0.0414009355008602,1.2943705953377025,0.7060436140933205,,,,,,,patch_snn,96
ETTh1_p96_flatten_homogeneous_no_memory_seed13,ETTh1,flatten,homogeneous_no_memory,False,False,13,0.4579799866773595,0.463489535881997,9,10,133573,21.21422243118286,ae5705ce67dcab92dac738fce77fbb8c5a5abf304f26d4f96cfe0d20e77347d3,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v1/forecasting/log/ett-first-20260914/ETTh1/260914/260914+model+myModel+seq_len+336+pred_len+96+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed13_flatten_homogeneous_no_memory,0.0,0.0,0.0,0.0,0.0,0.0455064810812473,1.2943705953377025,0.7060436140933205,,,,,,,patch_snn,96
ETTh1_p96_flatten_homogeneous_no_memory_seed21,ETTh1,flatten,homogeneous_no_memory,False,False,21,0.4492233876651074,0.4575300028284474,9,10,133573,20.34785485267639,2f236d7fdba6cb074b64eb6e93289eb6e40223f050eeae3ed6a016cb6113bf70,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v1/forecasting/log/ett-first-20260914/ETTh1/260914/260914+model+myModel+seq_len+336+pred_len+96+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed21_flatten_homogeneous_no_memory,0.0,0.0,0.0,0.0,0.0,0.0462638176977634,1.2943705953377025,0.7060436140933205,,,,,,,patch_snn,96
ETTh1_p96_flatten_homogeneous_retrieval_seed7,ETTh1,flatten,homogeneous_retrieval,False,True,7,0.4481480426276051,0.4570659968917613,8,10,133573,53.381699323654175,bd00433801a35f021af7c73a214fbf93faddbb68169224bfe7fc8f7f155a1363,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v1/forecasting/log/ett-first-20260914/ETTh1/260914/260914+model+myModel+seq_len+336+pred_len+96+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed7_flatten_homogeneous_retrieval,0.5471380949020386,0.9297489523887634,10.702674884931184,0.0,0.0204581711441278,0.0403645820915699,1.2943705953377025,0.7060436140933205,0.4551797399687575,0.0070316973411524,0.4474504804360552,-0.0006975621915499,0.4488081022112911,0.0006600595836859,patch_snn,96
