epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,0.063467,0.014346,0.049121,0.098893,0.027929,0.002469,0.025460,0.105281
1,0.040016,0.010569,0.029448,0.107543,0.026828,0.002004,0.024824,0.108473
2,0.040112,0.010317,0.029794,0.110966,0.027859,0.001878,0.025981,0.117098
3,0.040407,0.010255,0.030152,0.112514,0.026710,0.001758,0.024951,0.111353
4,0.040135,0.010185,0.029950,0.110611,0.027043,0.001902,0.025141,0.108310
5,0.039937,0.010159,0.029778,0.109016,0.026879,0.001822,0.025057,0.108533
6,0.039759,0.010130,0.029629,0.107024,0.027352,0.001655,0.025697,0.105493
7,0.039664,0.010113,0.029551,0.106086,0.027241,0.001652,0.025590,0.107729
8,0.039419,0.010099,0.029320,0.105209,0.025838,0.001658,0.024180,0.104239
9,0.039178,0.010077,0.029101,0.104674,0.025907,0.001687,0.024220,0.103296
10,0.038946,0.010071,0.028876,0.103938,0.027695,0.001623,0.026071,0.105902
11,0.039075,0.010080,0.028996,0.103706,0.026268,0.001884,0.024384,0.101472
12,0.039042,0.010068,0.028975,0.102945,0.025813,0.001696,0.024117,0.102254
13,0.038954,0.010093,0.028861,0.102378,0.026597,0.001636,0.024961,0.102596
