epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,0.300050,0.049073,0.250977,0.125652,0.135998,0.019679,0.116319,0.161285
1,0.120199,0.022891,0.097308,0.180440,0.089970,0.010604,0.079366,0.198841
2,0.098562,0.020547,0.078014,0.209111,0.076462,0.009269,0.067193,0.222496
3,0.088855,0.019776,0.069079,0.228733,0.069548,0.008679,0.060869,0.236311
4,0.083954,0.019382,0.064572,0.237022,0.065620,0.008101,0.057519,0.240898
5,0.081128,0.018927,0.062201,0.239279,0.063396,0.007828,0.055569,0.241534
6,0.079294,0.018545,0.060749,0.238558,0.062321,0.007639,0.054681,0.239759
7,0.078244,0.018276,0.059968,0.236628,0.061280,0.007394,0.053887,0.237168
8,0.077631,0.018078,0.059553,0.235261,0.060292,0.006960,0.053331,0.236975
9,0.076912,0.017835,0.059078,0.233420,0.059818,0.007027,0.052791,0.233910
10,0.076229,0.017624,0.058605,0.231030,0.058991,0.006757,0.052235,0.232988
11,0.075640,0.017533,0.058107,0.229808,0.058550,0.006947,0.051603,0.230599
12,0.075424,0.017728,0.057696,0.228708,0.058007,0.006720,0.051287,0.229930
13,0.074802,0.017433,0.057369,0.227924,0.057452,0.006446,0.051006,0.230062
14,0.074435,0.017414,0.057020,0.227489,0.057173,0.006719,0.050454,0.229731
15,0.074144,0.017466,0.056678,0.228122,0.056820,0.006667,0.050153,0.230377
16,0.073831,0.017375,0.056456,0.229026,0.056318,0.006474,0.049844,0.231142
