loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.457308,0.473783,0.456479,60.00 M Ops,11.21 M Ops,2.45 M Ops,0.2796 M,0.4134 %,21.37 uJ,0.532101,0.508640,0.565807
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.455230,0.465796,0.454377,60.00 M Ops,10.80 M Ops,2.45 M Ops,0.2797 M,0.4178 %,21.00 uJ,0.528474,0.508321,0.573127
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.455230,0.465796,0.454377,60.00 M Ops,10.80 M Ops,2.45 M Ops,0.2797 M,0.4178 %,21.00 uJ,0.528474,0.508321,0.573127
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.458759,0.469934,0.457973,60.00 M Ops,10.71 M Ops,2.45 M Ops,0.2797 M,0.4283 %,20.91 uJ,0.531268,0.512193,0.569333
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.452488,0.458574,0.451662,60.00 M Ops,10.34 M Ops,2.45 M Ops,0.2797 M,0.4151 %,20.59 uJ,0.521779,0.505487,0.579745
