epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WK_norm,train_grad_eta_hat_norm,train_grad_WQ_absmax,train_grad_WK_absmax,train_grad_absmax_all,train_singleton_frac,val_loss,val_mse,val_mae
0,0.289168,0.289168,0.436102,35.088673,0.283398,0.500000,0.874607,0.080745,0.347991,3.522882,0.000000,0.000000,0.000000,0.000000,0.000000,0.471155,0.024390,0.155526,0.155526,0.324197
1,0.106035,0.106035,0.256722,42.798317,0.254708,0.500000,0.874593,0.081291,0.348111,3.382174,0.000000,0.000000,0.000000,0.000000,0.000000,0.185261,0.024390,0.086854,0.086854,0.225185
2,0.078898,0.078898,0.212051,36.302040,0.238116,0.500000,0.880186,0.081014,0.354687,3.475086,0.000000,0.000000,0.000000,0.000000,0.000000,0.092753,0.024390,0.078028,0.078028,0.212221
3,0.072723,0.072723,0.202538,35.012775,0.228588,0.500000,0.875921,0.080349,0.350633,3.325067,0.000000,0.000000,0.000000,0.000000,0.000000,0.117223,0.024390,0.073590,0.073590,0.204805
4,0.069339,0.069339,0.196631,40.493328,0.228533,0.500000,0.877741,0.081283,0.351355,3.284745,0.000000,0.000000,0.000000,0.000000,0.000000,0.074205,0.024390,0.070565,0.070565,0.199775
5,0.067141,0.067141,0.192745,35.061874,0.230719,0.500000,0.877491,0.081724,0.350894,3.227813,0.000000,0.000000,0.000000,0.000000,0.000000,0.091868,0.024390,0.067796,0.067796,0.194931
6,0.065742,0.065742,0.190426,38.631905,0.231945,0.500000,0.879696,0.080600,0.355040,3.274344,0.000000,0.000000,0.000000,0.000000,0.000000,0.062262,0.024390,0.066857,0.066857,0.192955
7,0.064868,0.064868,0.189290,35.687412,0.237485,0.500000,0.880916,0.079801,0.356772,3.169057,0.000000,0.000000,0.000000,0.000000,0.000000,0.092296,0.024390,0.066201,0.066201,0.192986
8,0.063925,0.063925,0.188073,35.437305,0.237947,0.500000,0.878237,0.080991,0.351635,3.095872,0.000000,0.000000,0.000000,0.000000,0.000000,0.096289,0.024390,0.064957,0.064957,0.191284
9,0.063151,0.063151,0.187112,34.499802,0.243786,0.500000,0.878469,0.080456,0.352469,3.139948,0.000000,0.000000,0.000000,0.000000,0.000000,0.094699,0.024390,0.064636,0.064636,0.190434
10,0.062913,0.062913,0.186670,37.308357,0.244170,0.500000,0.878955,0.081485,0.353496,3.067285,0.000000,0.000000,0.000000,0.000000,0.000000,0.103593,0.024390,0.063429,0.063429,0.188100
11,0.062587,0.062587,0.186098,38.151817,0.243617,0.500000,0.876178,0.082356,0.349692,3.064023,0.000000,0.000000,0.000000,0.000000,0.000000,0.099967,0.024390,0.063578,0.063578,0.188131
