epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.676266,0.676266,0.602148,1.364223,1.364223,0.836143
1,0.569684,0.569684,0.546370,1.328467,1.328467,0.821968
2,0.552470,0.552470,0.536947,1.314309,1.314309,0.817570
3,0.543291,0.543291,0.532203,1.299783,1.299783,0.811190
4,0.537179,0.537179,0.528784,1.287704,1.287704,0.805147
5,0.530771,0.530771,0.525788,1.308576,1.308576,0.812953
6,0.524708,0.524708,0.522998,1.287180,1.287180,0.806326
7,0.519710,0.519710,0.520759,1.275595,1.275595,0.801683
8,0.515948,0.515948,0.519205,1.279407,1.279407,0.803047
9,0.513804,0.513804,0.518229,1.275307,1.275307,0.801770
