loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.449781, 0.448978, 0.464536, 111.13 M Ops, 14.69 M Ops, 6.70 M Ops, 0.6726 M, 0.4916 %, 44.03 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.450722, 0.449624, 0.464458, 111.13 M Ops, 14.75 M Ops, 5.21 M Ops, 0.6726 M, 0.3984 %, 37.23 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.449152, 0.448342, 0.464329, 111.13 M Ops, 14.81 M Ops, 5.21 M Ops, 0.6726 M, 0.3981 %, 37.28 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.449840, 0.449039, 0.464580, 111.13 M Ops, 14.81 M Ops, 5.21 M Ops, 0.6726 M, 0.3908 %, 37.28 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.449614, 0.448830, 0.464635, 111.13 M Ops, 14.84 M Ops, 5.95 M Ops, 0.6735 M, 0.4378 %, 40.74 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.449614, 0.448830, 0.464635, 111.13 M Ops, 14.84 M Ops, 5.95 M Ops, 0.6735 M, 0.4378 %, 40.74 uJ
