horizon_zero_based,mse,mae
0,0.148707706182,0.269210342079
1,0.165290550331,0.279968534646
2,0.172047702418,0.285036039787
3,0.175207171889,0.28803291171
4,0.182794512057,0.29307232807
5,0.186653707313,0.297270230443
6,0.190453991626,0.300368954013
7,0.198997894208,0.305568551365
8,0.204632309318,0.309683873921
9,0.207250818617,0.311659732788
10,0.212038702631,0.312718104954
11,0.217407835881,0.311769014759
12,0.227510731129,0.319130107408
13,0.230818848806,0.321119189299
14,0.234830870702,0.32381936789
15,0.232195091354,0.321183186187
16,0.259241148349,0.343923307437
17,0.24840476273,0.331460503874
18,0.242529446544,0.324860397562
19,0.246395363458,0.326704147716
20,0.242630560269,0.323797966194
21,0.249883791886,0.328799986824
22,0.25496162803,0.333196667789
23,0.257740409687,0.335354344937
24,0.279783609699,0.352530519992
25,0.279972242002,0.351449356828
26,0.287144276108,0.356086309631
27,0.281783736496,0.351242892585
28,0.288618056465,0.357277208179
29,0.285442389143,0.354463898888
30,0.280888029193,0.352666367541
31,0.303142536432,0.368339926107
32,0.309272806196,0.372675779063
33,0.309917416025,0.371007820709
34,0.29909352468,0.362748195981
35,0.299416224847,0.362151118017
36,0.299758464226,0.362765768443
37,0.307817294386,0.36946896687
38,0.305134253745,0.366189848175
39,0.312058303955,0.372061903298
40,0.315085930832,0.37490779695
41,0.321119269537,0.379283618595
42,0.320750011342,0.379044168457
43,0.316948009006,0.373905656342
44,0.319786901134,0.375356948557
45,0.345026858112,0.397890470507
46,0.326436157942,0.381731488283
47,0.344568035472,0.393327494516
48,0.352432770976,0.401205180478
49,0.363269826726,0.408815976963
50,0.344592213155,0.393075139825
51,0.355313715885,0.401327736639
52,0.356393568187,0.403786463259
53,0.368587033388,0.412292528031
54,0.371135632459,0.413445300145
55,0.380368566214,0.418188820118
56,0.404954262513,0.439535399148
57,0.398219408614,0.431727969006
58,0.385076249189,0.422530728753
59,0.392075563153,0.427370569777
60,0.38052524,0.417861298835
61,0.384504558012,0.421306522545
62,0.370407114129,0.412414593423
63,0.37484484521,0.416346836877
64,0.387517485888,0.426079219481
65,0.395538354758,0.430904404734
66,0.393077514683,0.427810279248
67,0.403252034877,0.43337883662
68,0.396568574471,0.429516043319
69,0.408941186444,0.437872371127
70,0.41290315094,0.441663863508
71,0.42563533643,0.450594970123
72,0.467591332511,0.478362905592
73,0.435185613142,0.455192430361
74,0.431945597274,0.454357652139
75,0.413055393341,0.440477176457
76,0.396199223543,0.42739621819
77,0.41069357233,0.439034417573
78,0.388017575272,0.419761937646
79,0.407329466217,0.437498852569
80,0.404185250144,0.431805485175
81,0.442845910152,0.460145114933
82,0.419148580433,0.443149477179
83,0.425866827936,0.448355797685
84,0.441615456389,0.460591782748
85,0.427893346559,0.450557129371
86,0.448422845785,0.465579946711
87,0.437840277549,0.45991769789
88,0.446509841264,0.465300401154
89,0.428858122879,0.45226199171
90,0.434270844047,0.456095549043
91,0.431147537373,0.453746921067
92,0.44014727582,0.459519059827
93,0.431035809654,0.454608696971
94,0.46999006188,0.479654076761
95,0.470920956137,0.480026351628
