loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.380079, 0.379191, 0.400555, 25.31 M Ops, 3.82 M Ops, 5.52 M Ops, 0.1434 M, 0.5340 %, 28.83 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.381432, 0.380597, 0.401227, 25.31 M Ops, 3.81 M Ops, 5.52 M Ops, 0.1431 M, 0.5634 %, 28.81 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.399420, 0.398858, 0.416371, 25.31 M Ops, 4.08 M Ops, 5.52 M Ops, 0.1431 M, 0.5674 %, 29.06 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.376205, 0.375464, 0.398652, 25.31 M Ops, 3.68 M Ops, 5.52 M Ops, 0.1431 M, 0.5593 %, 28.70 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.380146, 0.379476, 0.399823, 29.02 M Ops, 4.23 M Ops, 5.68 M Ops, 0.1474 M, 0.5381 %, 29.95 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.379461, 0.378541, 0.400563, 29.02 M Ops, 4.32 M Ops, 5.68 M Ops, 0.1474 M, 0.5431 %, 30.02 uJ
