horizon_zero_based,mse,mae
0,0.184920097211,0.304119115198
1,0.188932195257,0.305038092636
2,0.199928785076,0.315359160818
3,0.199963904462,0.31334812405
4,0.211794070797,0.324119885164
5,0.223778551275,0.33886654359
6,0.22784075772,0.339035441546
7,0.238271837587,0.348321861679
8,0.239276788275,0.348630630424
9,0.232098729247,0.337237080583
10,0.234086176551,0.336280013057
11,0.234441744147,0.335281469018
12,0.233916973587,0.332246438616
13,0.234170724284,0.330694088427
14,0.241438984534,0.334192038362
15,0.248137505862,0.336556361579
16,0.249394476708,0.338874416264
17,0.250964318717,0.340298523532
18,0.253227910287,0.342227237591
19,0.258075245129,0.347809694593
20,0.256390107568,0.339337147043
21,0.261702509352,0.347511413243
22,0.264595710865,0.347520687254
23,0.270335621431,0.350011911388
24,0.276627980167,0.35782774078
25,0.280207484831,0.357085213347
26,0.280190387688,0.35889461108
27,0.282252630919,0.359988500528
28,0.285209187569,0.364484350288
29,0.288342828035,0.362322837303
30,0.290497528275,0.362751926885
31,0.294620383419,0.365239581824
32,0.299379571734,0.369298875178
33,0.297979551443,0.368341335059
34,0.302173443073,0.370267414453
35,0.297482722842,0.36510582005
36,0.305602712142,0.370626500092
37,0.307890189293,0.372954529047
38,0.311115878813,0.375109949848
39,0.308723312278,0.372429533766
40,0.320355941705,0.380271382343
41,0.316350752992,0.377424394343
42,0.317663043142,0.377472087972
43,0.323236561125,0.382168645066
44,0.318616184507,0.37695145995
45,0.324087065036,0.381799596933
46,0.337778766352,0.391703550798
47,0.344658919714,0.399249959806
48,0.335574868675,0.390482150122
49,0.336877348027,0.391885631766
50,0.335738068796,0.389563821076
51,0.336127187549,0.390978382739
52,0.3325961127,0.387599363568
53,0.339836479364,0.394249175801
54,0.33733363352,0.389695749258
55,0.342428083828,0.392802559412
56,0.348894376026,0.398627408441
57,0.347215219052,0.397185302507
58,0.348451406079,0.396078579837
59,0.350823657345,0.398455260113
60,0.356814489484,0.402043626182
61,0.368126389913,0.412277413114
62,0.364046757169,0.408350365104
63,0.373408280308,0.415188493082
64,0.386111944118,0.425429943409
65,0.384248417516,0.424242800926
66,0.382133489934,0.421667502615
67,0.390112071217,0.427461578952
68,0.369992811504,0.412819263182
69,0.366586568113,0.409850385698
70,0.372801151587,0.414141023432
71,0.374982129448,0.417962876219
72,0.370446594692,0.412504603491
73,0.369042037718,0.412030374606
74,0.364518658915,0.4077921959
75,0.364198992216,0.40837334033
76,0.366696357048,0.412750077411
77,0.367748658683,0.411260852686
78,0.363709232984,0.40778231116
79,0.364531790266,0.410285996101
80,0.368940220957,0.412507744659
81,0.372314220577,0.414480541494
82,0.369415747339,0.412571357056
83,0.368192005125,0.411922818658
84,0.374403673629,0.41685398444
85,0.37037197458,0.412152192663
86,0.37314537086,0.416095588129
87,0.3855787284,0.424659903272
88,0.378822488991,0.420232015258
89,0.397303976615,0.435223464051
90,0.40623517907,0.440975134617
91,0.389317940632,0.428653047174
92,0.403165274763,0.439609085824
93,0.399003168883,0.438235093653
94,0.41080657514,0.447748864419
95,0.413071742795,0.448098777428
