epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.530966,0.530966,0.522720,0.804700,0.804700,0.623169
1,0.379443,0.379443,0.438547,0.738916,0.738916,0.595801
2,0.356287,0.356287,0.423546,0.722025,0.722025,0.594243
3,0.347303,0.347303,0.418263,0.721329,0.721329,0.590440
4,0.340713,0.340713,0.414149,0.723568,0.723568,0.591907
5,0.335651,0.335651,0.411224,0.710892,0.710892,0.586299
6,0.331766,0.331766,0.409328,0.713576,0.713576,0.586538
7,0.327955,0.327955,0.407287,0.719963,0.719963,0.589360
8,0.323830,0.323830,0.404698,0.717149,0.717149,0.588277
9,0.319386,0.319386,0.402341,0.710997,0.710997,0.584647
10,0.317951,0.317951,0.401917,0.714262,0.714262,0.585701
11,0.315950,0.315950,0.400747,0.717711,0.717711,0.584363
